,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
36302,FL,42680,"Sebastian-Vero Beach, FL",19-0000,"Life, Physical, and Social Science Occupations",major,180,10.1,3.727,0.45,28.06,58360,2.9,14.83,17.72,24.11,35.18,43.72,30840,36850,50150,73170,90930,,
36304,FL,42680,"Sebastian-Vero Beach, FL",21-0000,Community and Social Service Occupations,major,500,11.3,10.355,0.72,20.51,42650,4.7,11.29,14.14,18.97,26.14,32.55,23490,29420,39460,54360,67700,,
36312,FL,42680,"Sebastian-Vero Beach, FL",23-0000,Legal Occupations,major,350,12.3,7.231,0.94,*,*,*,*,*,*,*,*,*,*,*,*,*,,
36315,FL,42680,"Sebastian-Vero Beach, FL",25-0000,"Education, Training, and Library Occupations",major,2420,5.5,50.18,0.82,21.63,44990,7.6,9.76,14.55,21.59,27.31,34.43,20310,30250,44910,56810,71620,,
36326,FL,42680,"Sebastian-Vero Beach, FL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,450,11.9,9.385,0.69,22,45750,5,8.94,11.53,18.2,29.53,39.08,18590,23980,37870,61420,81290,,
36333,FL,42680,"Sebastian-Vero Beach, FL",29-0000,Healthcare Practitioners and Technical Occupations,major,3400,9.4,70.387,1.19,36.45,75820,4.5,14.5,20.05,28.81,39.18,62.26,30160,41710,59920,81490,129500,,
36359,FL,42680,"Sebastian-Vero Beach, FL",31-0000,Healthcare Support Occupations,major,1680,10.4,34.802,1.21,14.75,30680,2.8,10.27,11.42,13.41,16.29,21.54,21360,23760,27890,33880,44790,,
36368,FL,42680,"Sebastian-Vero Beach, FL",33-0000,Protective Service Occupations,major,1060,3.5,21.952,0.91,20.78,43210,4.3,9.68,13.39,20.35,25.93,33.33,20120,27850,42320,53930,69320,,
36374,FL,42680,"Sebastian-Vero Beach, FL",35-0000,Food Preparation and Serving Related Occupations,major,6520,3.8,135.226,1.46,11.61,24150,2.2,8.55,9,10.13,12.99,16.71,17780,18720,21080,27020,34760,,
36389,FL,42680,"Sebastian-Vero Beach, FL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,2670,7.5,55.272,1.75,13.07,27180,2.5,8.95,9.9,11.63,14.45,18.3,18610,20590,24200,30060,38060,,
36397,FL,42680,"Sebastian-Vero Beach, FL",39-0000,Personal Care and Service Occupations,major,1490,13.3,30.935,0.96,13.12,27290,3.2,8.66,9.27,11.18,14.73,20.74,18010,19280,23250,30640,43130,,
36408,FL,42680,"Sebastian-Vero Beach, FL",41-0000,Sales and Related Occupations,major,7130,6.2,147.832,1.43,16.74,34810,4.1,8.65,9.23,11.79,18.53,29.41,18000,19200,24520,38540,61180,,
36422,FL,42680,"Sebastian-Vero Beach, FL",43-0000,Office and Administrative Support Occupations,major,7550,3.4,156.434,1,15.91,33100,1.5,9.41,11.56,14.83,18.65,24.12,19580,24030,30840,38800,50180,,
36451,FL,42680,"Sebastian-Vero Beach, FL",45-0000,"Farming, Fishing, and Forestry Occupations",major,1000,27.5,20.804,6.3,9.88,20550,2.1,8.46,8.71,9.13,9.56,11.94,17590,18120,18990,19880,24840,,
36455,FL,42680,"Sebastian-Vero Beach, FL",47-0000,Construction and Extraction Occupations,major,2370,6.2,49.133,1.24,18.26,37990,2.4,10.81,13.45,17.17,21.9,26.95,22490,27970,35720,45550,56050,,
36470,FL,42680,"Sebastian-Vero Beach, FL",49-0000,"Installation, Maintenance, and Repair Occupations",major,2370,8.7,49.044,1.26,18.36,38180,3.2,10.67,13.05,16.46,21.68,30.41,22200,27140,34230,45100,63250,,
36483,FL,42680,"Sebastian-Vero Beach, FL",51-0000,Production Occupations,major,1380,15.1,28.64,0.44,16.56,34440,5.3,9.14,10.76,15.07,21.09,27.31,19000,22380,31340,43870,56810,,
36495,FL,42680,"Sebastian-Vero Beach, FL",53-0000,Transportation and Material Moving Occupations,major,2010,6.3,41.769,0.6,13.66,28420,2.8,8.78,9.6,12.16,16.33,19.55,18260,19960,25280,33970,40660,,
36507,FL,42700,"Sebring, FL",11-0000,Management Occupations,major,550,9.3,22.045,0.44,41.78,86910,6.4,14.48,24.99,36.48,50.27,67.27,30130,51990,75880,104570,139910,,
36513,FL,42700,"Sebring, FL",13-0000,Business and Financial Operations Occupations,major,630,8.5,25.115,0.48,25.04,52080,2.8,14.87,18.56,23.37,29.7,37.46,30930,38600,48600,61780,77910,,
36519,FL,42700,"Sebring, FL",15-0000,Computer and Mathematical Occupations,major,220,14.7,8.631,0.29,23.93,49760,5.4,12.28,16.6,22.32,29.14,38.38,25550,34530,46430,60620,79830,,
36522,FL,42700,"Sebring, FL",17-0000,Architecture and Engineering Occupations,major,100,35,4.144,0.23,30.55,63550,6.9,16.31,21.45,30.53,36.05,39.33,33930,44620,63500,74990,81800,,
36523,FL,42700,"Sebring, FL",19-0000,"Life, Physical, and Social Science Occupations",major,110,9.1,4.495,0.55,21.53,44780,3.2,15,16.79,20.48,24.77,30.39,31200,34930,42590,51530,63220,,
36524,FL,42700,"Sebring, FL",21-0000,Community and Social Service Occupations,major,250,7.4,10.132,0.7,21.02,43710,2.7,12.92,15.86,20.41,25.02,30.07,26870,32990,42460,52040,62540,,
36529,FL,42700,"Sebring, FL",23-0000,Legal Occupations,major,80,14.7,3.278,0.43,36.7,76330,20.5,16.35,19.43,29.89,42.54,64.05,34010,40420,62180,88470,133220,,
36531,FL,42700,"Sebring, FL",25-0000,"Education, Training, and Library Occupations",major,1620,2.8,64.702,1.05,17.99,37410,2.6,9.39,11.74,16.97,23.72,28.8,19540,24430,35290,49340,59910,,
36536,FL,42700,"Sebring, FL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,150,14,5.972,0.44,19.17,39870,5.6,9.96,14.81,17.55,21.37,31.54,20710,30790,36510,44450,65600,,
36538,FL,42700,"Sebring, FL",29-0000,Healthcare Practitioners and Technical Occupations,major,2180,4.1,87.11,1.47,33.12,68880,4.6,13.64,19.95,26.59,34.87,55.05,28360,41490,55300,72520,114490,,
36554,FL,42700,"Sebring, FL",31-0000,Healthcare Support Occupations,major,1310,6.4,52.294,1.82,12.83,26700,2.7,8.99,9.97,11.7,14.44,17.87,18700,20730,24340,30030,37180,,
36560,FL,42700,"Sebring, FL",33-0000,Protective Service Occupations,major,480,6.5,19.247,0.8,19.85,41300,3.6,10.68,14.89,19.89,24.06,29.17,22220,30970,41370,50050,60680,,
36565,FL,42700,"Sebring, FL",35-0000,Food Preparation and Serving Related Occupations,major,2710,21.7,108.297,1.17,10.47,21780,1.7,8.51,8.87,9.47,11.26,14.08,17690,18450,19700,23420,29290,,
36577,FL,42700,"Sebring, FL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,960,9.7,38.202,1.21,11.14,23170,2.2,8.6,9.08,10.17,12.05,14.72,17890,18890,21160,25060,30630,,
36582,FL,42700,"Sebring, FL",39-0000,Personal Care and Service Occupations,major,840,13.7,33.447,1.04,11.65,24230,3.2,8.55,8.98,9.98,12.3,17.93,17790,18680,20750,25590,37290,,
36591,FL,42700,"Sebring, FL",41-0000,Sales and Related Occupations,major,3470,6,138.718,1.34,14.37,29880,4.4,8.55,9.03,10.56,15.54,24.68,17790,18780,21970,32320,51340,,
36602,FL,42700,"Sebring, FL",43-0000,Office and Administrative Support Occupations,major,4720,3.8,188.341,1.2,14.06,29250,2.3,9.51,10.68,12.78,16.15,20.21,19790,22210,26580,33590,42040,,
36620,FL,42700,"Sebring, FL",45-0000,"Farming, Fishing, and Forestry Occupations",major,1070,37.1,42.865,12.98,16.5,34320,19.2,8.59,9.01,9.73,27.26,30,17870,18730,20230,56700,62400,,
36622,FL,42700,"Sebring, FL",47-0000,Construction and Extraction Occupations,major,980,9,38.932,0.98,15.03,31270,3.6,9.53,11.03,14.12,17.55,21.66,19820,22930,29360,36500,45050,,
36632,FL,42700,"Sebring, FL",49-0000,"Installation, Maintenance, and Repair Occupations",major,900,10.1,35.802,0.92,18.69,38870,4.5,10.65,13.3,17.48,23.26,28.75,22150,27660,36360,48370,59790,,
36639,FL,42700,"Sebring, FL",51-0000,Production Occupations,major,590,17,23.702,0.37,13.78,28660,4,8.94,10.08,12.58,15.38,19.73,18600,20970,26160,31990,41040,,
36645,FL,42700,"Sebring, FL",53-0000,Transportation and Material Moving Occupations,major,1120,9.3,44.521,0.64,12.25,25490,5,8.51,8.97,10.13,13.11,17.77,17700,18650,21070,27270,36960,,
36655,FL,45220,"Tallahassee, FL",11-0000,Management Occupations,major,5750,3.8,35.026,0.69,50.31,104650,2.8,23.63,32.44,44.98,59.91,81.45,49150,67480,93560,124620,169420,,
36678,FL,45220,"Tallahassee, FL",13-0000,Business and Financial Operations Occupations,major,16920,1.8,103.095,1.99,25.77,53600,5.4,14.9,17.88,22.92,30.27,40.29,30990,37180,47670,62950,83800,,
36703,FL,45220,"Tallahassee, FL",15-0000,Computer and Mathematical Occupations,major,6290,3.8,38.3,1.29,29.43,61220,3.7,15.99,20.04,27.01,36.3,47.84,33250,41680,56190,75500,99500,,
36719,FL,45220,"Tallahassee, FL",17-0000,Architecture and Engineering Occupations,major,1810,4.4,11.057,0.62,33.02,68680,2.6,16.62,22.26,29.8,41.21,52.78,34570,46300,61970,85720,109780,,
36734,FL,45220,"Tallahassee, FL",19-0000,"Life, Physical, and Social Science Occupations",major,2240,4.8,13.672,1.67,25.35,52740,3.5,14.95,18.38,22.92,29.39,37.23,31100,38230,47670,61130,77430,,
36750,FL,45220,"Tallahassee, FL",21-0000,Community and Social Service Occupations,major,2430,5.6,14.828,1.03,19.95,41500,2.2,12.82,15.37,18.17,23.26,29.5,26670,31960,37790,48370,61350,,
36765,FL,45220,"Tallahassee, FL",23-0000,Legal Occupations,major,3330,4.9,20.309,2.65,40.33,83880,8.3,18.93,22.48,31.97,51.76,73.59,39360,46770,66500,107650,153060,,
36770,FL,45220,"Tallahassee, FL",25-0000,"Education, Training, and Library Occupations",major,14560,5.7,88.735,1.44,26.17,54440,7.2,10.51,15.89,21.21,29.81,47.19,21860,33050,44110,62010,98160,,
36802,FL,45220,"Tallahassee, FL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2490,11.3,15.157,1.12,30.73,63910,5.9,12.62,16.92,24.13,39.06,48.19,26240,35190,50190,81240,100240,,
36817,FL,45220,"Tallahassee, FL",29-0000,Healthcare Practitioners and Technical Occupations,major,9610,7,58.533,0.99,33.65,69990,3.5,13.29,18.38,26.17,36.83,57.96,27640,38230,54430,76610,120560,,
36856,FL,45220,"Tallahassee, FL",31-0000,Healthcare Support Occupations,major,4360,5.4,26.593,0.92,13.34,27750,3.2,9.09,10.11,11.71,14.46,19.33,18910,21030,24360,30080,40200,,
36869,FL,45220,"Tallahassee, FL",33-0000,Protective Service Occupations,major,5030,6,30.651,1.27,21.41,44540,4.4,11.66,15.51,18.53,26.3,35.55,24260,32270,38540,54710,73940,,
36885,FL,45220,"Tallahassee, FL",35-0000,Food Preparation and Serving Related Occupations,major,16570,3.7,100.982,1.09,11.9,24750,4.2,8.52,8.92,9.71,12.17,18.57,17730,18560,20200,25320,38630,,
36900,FL,45220,"Tallahassee, FL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,5510,11.8,33.583,1.07,11.46,23830,2.7,8.57,9.06,10.24,12.06,15.65,17830,18830,21290,25080,32550,,
36908,FL,45220,"Tallahassee, FL",39-0000,Personal Care and Service Occupations,major,3730,5.2,22.704,0.71,12.59,26190,3.5,8.56,9,10.05,13.35,19.38,17800,18720,20900,27770,40310,,
36923,FL,45220,"Tallahassee, FL",41-0000,Sales and Related Occupations,major,16470,3.9,100.319,0.97,16.08,33450,2.8,8.63,9.14,11.14,17.8,29.87,17950,19010,23180,37010,62130,,
36942,FL,45220,"Tallahassee, FL",43-0000,Office and Administrative Support Occupations,major,25260,1.9,153.893,0.98,15.48,32190,1.3,9.5,11.23,14.22,18.28,23.59,19770,23360,29580,38030,49070,,
36988,FL,45220,"Tallahassee, FL",45-0000,"Farming, Fishing, and Forestry Occupations",major,440,13.3,2.655,0.8,12.74,26490,9.7,8.53,8.88,9.47,14.03,25.9,17740,18470,19700,29180,53870,,
36990,FL,45220,"Tallahassee, FL",47-0000,Construction and Extraction Occupations,major,5400,4.8,32.901,0.83,18.02,37480,2.2,10.33,12.79,16.22,21.45,28.13,21480,26600,33730,44620,58520,,
37013,FL,45220,"Tallahassee, FL",49-0000,"Installation, Maintenance, and Repair Occupations",major,5940,4.8,36.198,0.93,19.11,39750,2.2,10.48,13.14,17.57,23.28,30.29,21790,27330,36540,48430,63000,,
37037,FL,45220,"Tallahassee, FL",51-0000,Production Occupations,major,3480,10,21.225,0.33,15.18,31570,3,9.1,10.48,13.16,17.68,23.8,18920,21800,27380,36770,49500,,
37063,FL,45220,"Tallahassee, FL",53-0000,Transportation and Material Moving Occupations,major,6500,6.4,39.584,0.57,13.73,28560,2.8,8.66,9.32,11.76,15.73,21.87,18020,19380,24460,32730,45480,,
37082,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",11-0000,Management Occupations,major,45250,2.2,35.782,0.71,57.74,120100,1.4,24.93,33.83,49.51,70.48,#,51850,70380,102990,146610,#,,
37114,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",13-0000,Business and Financial Operations Occupations,major,79780,2.6,63.084,1.22,32.72,68070,1.1,16.99,22.16,29.43,38.78,51.37,35350,46090,61220,80660,106860,,
37146,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",15-0000,Computer and Mathematical Occupations,major,41230,3.8,32.602,1.1,36.03,74940,1.5,17.57,23.55,34.09,46.4,57.8,36540,48990,70900,96500,120210,,
37162,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",17-0000,Architecture and Engineering Occupations,major,17050,3.3,13.483,0.76,33.46,69590,1.7,16.75,22.87,30.59,41.89,53.31,34830,47570,63620,87130,110890,,
37193,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",19-0000,"Life, Physical, and Social Science Occupations",major,6760,4.9,5.342,0.65,31.41,65340,2.9,16.16,20.46,28.02,40.32,49.87,33600,42550,58290,83860,103730,,
37218,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",21-0000,Community and Social Service Occupations,major,12830,2.8,10.147,0.71,22.27,46320,4.5,12.71,15.25,19.53,26.76,35.43,26440,31720,40620,55670,73690,,
37237,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",23-0000,Legal Occupations,major,14010,4.9,11.074,1.45,46.08,95850,5.5,16.45,21.61,30.83,57.3,#,34220,44950,64130,119190,#,,
37245,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",25-0000,"Education, Training, and Library Occupations",major,62240,1.3,49.211,0.8,22.84,47510,3.8,10.23,15.23,20.95,27.08,36.03,21290,31680,43580,56320,74950,,
37293,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,14500,6.5,11.464,0.85,23.98,49870,2.7,9.75,13.86,20.68,29.29,40.01,20270,28820,43010,60920,83230,,
37329,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",29-0000,Healthcare Practitioners and Technical Occupations,major,82660,1.9,65.36,1.1,38.16,79370,2.9,14.78,20.51,29.34,39.23,70.99,30740,42650,61030,81600,147650,,
37385,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",31-0000,Healthcare Support Occupations,major,38510,3.6,30.452,1.06,14.22,29580,1.4,9.73,10.88,13.05,16.02,20.1,20240,22640,27150,33330,41810,,
37401,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",33-0000,Protective Service Occupations,major,30820,7.6,24.371,1.01,19.05,39630,5.6,8.9,10.57,16.58,25.25,33.75,18520,21990,34480,52510,70200,,
37419,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",35-0000,Food Preparation and Serving Related Occupations,major,126710,1.5,100.19,1.08,11.66,24240,1.3,8.51,8.9,9.61,12.46,17.83,17710,18510,19990,25920,37080,,
37437,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,36450,4.1,28.817,0.91,11.97,24900,1.6,8.66,9.26,10.85,13.32,17,18010,19260,22560,27700,35350,,
37448,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",39-0000,Personal Care and Service Occupations,major,34780,4.3,27.5,0.86,12.36,25710,2,8.53,8.98,10.18,13.41,19.52,17750,18680,21180,27900,40600,,
37475,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",41-0000,Sales and Related Occupations,major,153570,1.7,121.425,1.17,19.5,40550,1.9,8.71,9.35,12.89,22.65,36.84,18120,19450,26810,47110,76630,,
37496,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",43-0000,Office and Administrative Support Occupations,major,243250,1.6,192.334,1.23,16.43,34180,0.5,9.57,11.79,15.06,19.25,25.22,19910,24520,31320,40040,52450,,
37550,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",45-0000,"Farming, Fishing, and Forestry Occupations",major,1730,10.3,1.364,0.41,12,24950,6.7,8.44,8.76,9.29,13.32,20.28,17550,18220,19330,27700,42180,,
37558,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",47-0000,Construction and Extraction Occupations,major,50590,3.1,40.003,1.01,18.35,38160,1.3,10.68,13.17,16.76,21.77,28.38,22200,27390,34850,45280,59040,,
37594,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",49-0000,"Installation, Maintenance, and Repair Occupations",major,51050,3.4,40.364,1.04,19.9,41380,1.2,10.84,13.93,18.13,24.65,31.1,22560,28970,37710,51280,64680,,
37633,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",51-0000,Production Occupations,major,55400,2.8,43.804,0.68,16.18,33660,1.3,9.1,10.89,14.4,19.18,26.32,18930,22650,29950,39890,54750,,
37705,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",53-0000,Transportation and Material Moving Occupations,major,65550,2.9,51.826,0.75,15.13,31480,1.5,8.8,9.71,13.04,18.17,24.18,18300,20200,27120,37790,50290,,
37737,FL,45540,"The Villages, FL",11-0000,Management Occupations,major,700,7.6,28.012,0.55,50.82,105710,4.1,22.36,31.57,43.24,59.94,90.24,46510,65670,89940,124670,187710,,
37746,FL,45540,"The Villages, FL",13-0000,Business and Financial Operations Occupations,major,700,8.5,27.813,0.54,33.59,69860,7.7,14.82,21.68,28.44,36.76,48.67,30820,45090,59150,76450,101230,,
37753,FL,45540,"The Villages, FL",15-0000,Computer and Mathematical Occupations,major,200,14.1,7.888,0.27,29.6,61560,5.1,15.19,19.99,26.57,39.36,48.84,31590,41570,55260,81870,101590,,
37756,FL,45540,"The Villages, FL",17-0000,Architecture and Engineering Occupations,major,200,14.2,8.008,0.45,33.93,70580,6.5,13.55,22.23,34.27,43.53,52.07,28190,46240,71280,90540,108310,,
37759,FL,45540,"The Villages, FL",19-0000,"Life, Physical, and Social Science Occupations",major,190,5.6,7.637,0.93,28.3,58870,7.6,9.37,17.88,31.33,37.02,43.25,19480,37180,65170,77000,89950,,
37761,FL,45540,"The Villages, FL",21-0000,Community and Social Service Occupations,major,260,6.2,10.337,0.72,19.42,40400,6.5,12.76,14.28,17.22,22.33,30.13,26530,29700,35810,46450,62680,,
37764,FL,45540,"The Villages, FL",23-0000,Legal Occupations,major,80,15.6,3.19,0.42,*,*,*,*,*,*,*,*,*,*,*,*,*,,
37767,FL,45540,"The Villages, FL",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,170,16.1,6.6,0.49,21.56,44840,5.6,11.23,15.15,18.59,26.68,35.49,23360,31500,38670,55500,73820,,
37768,FL,45540,"The Villages, FL",29-0000,Healthcare Practitioners and Technical Occupations,major,2020,29.1,80.444,1.36,31.77,66080,4.9,14.76,19.63,26.47,35.49,52.39,30700,40830,55060,73820,108980,,
37782,FL,45540,"The Villages, FL",31-0000,Healthcare Support Occupations,major,920,19.8,36.683,1.27,15.33,31880,4.7,9.89,10.91,12.94,17.13,26.21,20560,22690,26910,35630,54520,,
37788,FL,45540,"The Villages, FL",33-0000,Protective Service Occupations,major,1760,2.6,70.127,2.91,20.87,43410,7.7,11.3,16.37,19.17,26.29,29.13,23510,34060,39870,54670,60590,,
37794,FL,45540,"The Villages, FL",35-0000,Food Preparation and Serving Related Occupations,major,4080,4.2,162.802,1.76,11.37,23640,2.6,8.45,8.79,9.38,11.98,17.14,17570,18270,19500,24920,35660,,
37805,FL,45540,"The Villages, FL",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,860,11.1,34.21,1.09,12.08,25130,3.1,8.51,9.01,10.47,13.57,18.84,17710,18740,21770,28220,39190,,
37811,FL,45540,"The Villages, FL",39-0000,Personal Care and Service Occupations,major,1250,4.7,49.756,1.55,11.42,23750,5,8.51,8.83,9.37,11.53,17.1,17690,18370,19480,23990,35560,,
37817,FL,45540,"The Villages, FL",41-0000,Sales and Related Occupations,major,2980,9.2,118.762,1.15,14.67,30510,4.9,8.58,9.01,10.35,16.37,26.49,17850,18740,21520,34050,55100,,
37826,FL,45540,"The Villages, FL",43-0000,Office and Administrative Support Occupations,major,3480,4.5,138.77,0.88,15.77,32800,2.7,9.15,10.84,14.16,18.8,25.02,19040,22560,29460,39110,52050,,
37845,FL,45540,"The Villages, FL",45-0000,"Farming, Fishing, and Forestry Occupations",major,**,**,**,**,14.39,29930,3.8,8.83,9.62,11.69,17.01,21.18,18360,20010,24310,35380,44050,,
37846,FL,45540,"The Villages, FL",47-0000,Construction and Extraction Occupations,major,1500,9.2,59.989,1.51,17.73,36870,2.6,11.22,13.2,16.11,20.84,27.16,23330,27460,33500,43340,56500,,
37854,FL,45540,"The Villages, FL",49-0000,"Installation, Maintenance, and Repair Occupations",major,820,10.4,32.515,0.84,19.45,40450,3.4,10.95,13.52,17.58,24.13,30.76,22770,28110,36570,50190,63990,,
37861,FL,45540,"The Villages, FL",51-0000,Production Occupations,major,680,14.9,27.131,0.42,16.1,33480,6.2,9.39,10.84,13.47,17.84,28,19540,22550,28020,37110,58250,,
37866,FL,45540,"The Villages, FL",53-0000,Transportation and Material Moving Occupations,major,1150,17.4,45.783,0.66,16.31,33930,8.7,8.99,10.4,13.73,22.12,28.31,18690,21640,28550,46010,58890,,
37875,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",11-0000,Management Occupations,major,21690,3,36.799,0.73,62.74,130500,1.7,26.17,35.78,52.44,77.38,#,54430,74430,109080,160950,#,,
37904,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",13-0000,Business and Financial Operations Occupations,major,32240,2.3,54.693,1.05,36.98,76930,2.1,17.32,23.06,30.98,43.45,60.81,36030,47960,64440,90380,126480,,
37934,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",15-0000,Computer and Mathematical Occupations,major,12210,6.5,20.708,0.7,36.73,76390,1.8,17.67,24.25,35.43,47.54,58.91,36760,50430,73690,98870,122540,,
37949,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",17-0000,Architecture and Engineering Occupations,major,7410,5.4,12.567,0.71,37.79,78600,2.6,18.57,25.44,35.53,48.06,60.5,38630,52920,73900,99970,125830,,
37973,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",19-0000,"Life, Physical, and Social Science Occupations",major,2490,5.4,4.229,0.51,28.97,60260,4.5,15.47,19.78,26.72,36.14,46.72,32180,41150,55570,75170,97170,,
37991,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",21-0000,Community and Social Service Occupations,major,6150,5.7,10.428,0.73,21.4,44510,2.9,12.68,15.63,19.87,25.75,30.38,26370,32500,41320,53570,63190,,
38007,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",23-0000,Legal Occupations,major,8310,5.9,14.097,1.84,44.49,92540,6.9,16.24,21.87,30.67,52.55,93.91,33790,45480,63780,109300,195340,,
38013,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",25-0000,"Education, Training, and Library Occupations",major,28250,2.2,47.922,0.78,24.31,50570,4.7,10.47,17.3,22.47,27.97,38.2,21770,35990,46730,58180,79450,,
38057,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,7480,4.8,12.687,0.94,26.49,55100,3.9,10.07,14.61,22.23,32.9,48.33,20940,30380,46230,68440,100530,,
38086,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",29-0000,Healthcare Practitioners and Technical Occupations,major,36680,2.4,62.227,1.05,36.63,76180,3.1,15.54,21.48,29.48,38.54,61.55,32320,44670,61320,80170,128030,,
38135,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",31-0000,Healthcare Support Occupations,major,19510,4.5,33.097,1.15,14.46,30070,1.9,9.88,10.8,12.77,16.99,21.5,20550,22460,26560,35340,44710,,
38151,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",33-0000,Protective Service Occupations,major,19080,3.7,32.367,1.34,21.29,44280,9.5,9.35,11.03,15.06,30.08,42.61,19460,22940,31330,62570,88620,,
38168,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",35-0000,Food Preparation and Serving Related Occupations,major,67550,1.8,114.588,1.24,11.97,24900,1.4,8.54,8.97,10.02,13.59,18.36,17770,18660,20840,28270,38190,,
38186,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,27920,3.6,47.364,1.5,12.22,25420,1.5,8.67,9.3,10.98,13.44,17.23,18040,19350,22830,27950,35840,,
38196,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",39-0000,Personal Care and Service Occupations,major,16050,4.6,27.228,0.85,14.32,29780,2.7,8.68,9.38,11.59,16.11,22.91,18050,19510,24100,33500,47650,,
38220,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",41-0000,Sales and Related Occupations,major,75990,2.2,128.903,1.25,20.07,41750,2.3,8.72,9.4,13.49,23.33,37.87,18150,19550,28070,48520,78770,,
38240,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",43-0000,Office and Administrative Support Occupations,major,101420,1.8,172.052,1.1,17.39,36170,0.9,9.81,12.48,16.01,21.03,27.46,20410,25960,33300,43730,57120,,
38289,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",45-0000,"Farming, Fishing, and Forestry Occupations",major,2620,14.1,4.442,1.35,12.26,25500,5.7,8.53,8.92,9.78,12.34,19.61,17740,18560,20340,25670,40800,,
38294,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",47-0000,Construction and Extraction Occupations,major,25170,3.9,42.696,1.07,19.89,41380,1.3,11.96,14.49,18.05,23.89,30.11,24890,30150,37550,49680,62620,,
38327,FL,48424,"West Palm Beach-Boca Raton-Delray Beach, FL Metropolitan Division",49-0000,"Installation, Maintenance, and Repair Occupations",major,24790,4.3,42.059,1.08,20.62,42900,1.4,11.21,14.62,19.12,25.55,31.53,23310,30410,39760,53140,65580,,
