,AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
30562,19100,"Dallas-Fort Worth-Arlington, TX",4,0,Cross-industry,cross-industry,1235,49-0000,"Installation, Maintenance, and Repair Occupations",major,147380,2.4,40.302,1.04,,24.28,50510,1.3,13.25,16.91,22.59,29.89,38.45,27560,35170,47000,62170,79970,,
30605,19100,"Dallas-Fort Worth-Arlington, TX",4,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,205810,2.3,56.281,0.9,,18.3,38070,1.7,10.11,12.25,15.93,21.98,30.57,21040,25470,33130,45720,63590,,
30698,19100,"Dallas-Fort Worth-Arlington, TX",4,0,Cross-industry,cross-industry,1235,53-0000,Transportation and Material Moving Occupations,major,347580,1.5,95.05,1.11,,19.88,41360,4,10.14,12.28,16.56,23.25,33.32,21100,25540,34450,48370,69310,,
30731,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,2630,7,40.849,0.74,,47.42,98620,3.5,19.37,28.45,40.76,59.26,83.22,40290,59170,84780,123270,173090,,
30746,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,1570,6,24.434,0.44,,30.41,63260,3.3,15.48,19.58,26.17,36.82,50.33,32190,40730,54430,76580,104690,,
30759,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,860,13.7,13.432,0.43,,34.84,72470,5.1,19.27,23.57,30.55,42.9,57.47,40080,49020,63540,89230,119530,,
30766,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,590,9,9.213,0.52,,32.27,67110,2.6,19.23,23.85,29.64,39.01,49.71,39990,49610,61660,81150,103400,,
30771,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,310,25.3,4.819,0.55,,25.49,53020,4,14.7,17.67,23.49,31,38.27,30570,36750,48850,64490,79600,,
30775,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,760,9.9,11.769,0.77,,19.8,41180,2.6,8.76,12.67,19.35,24.9,31.69,18220,26360,40240,51780,65920,,
30782,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,190,13.5,2.895,0.37,,38.4,79880,11.9,14.38,16.88,27.25,49.91,75.83,29910,35120,56690,103820,157720,,
30785,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,2020,23.2,31.422,0.52,,22.49,46790,6.5,8.4,11.78,23.32,30.76,36.79,17470,24500,48510,63970,76530,,
30792,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,360,14,5.531,0.4,,23.73,49360,6.3,11.13,13.67,20.5,30.46,45.25,23160,28430,42630,63350,94120,,
30797,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,29-0000,Healthcare Practitioners and Technical Occupations,major,3280,6.5,51.046,0.86,,37.57,78140,4.7,15.44,20.9,30.92,43.14,61.41,32120,43470,64310,89730,127730,,
30815,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,1460,8.5,22.616,0.51,,16.79,34910,12.2,10.27,11.54,14.01,18.5,31.25,21360,24000,29140,38480,65000,,
30823,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,33-0000,Protective Service Occupations,major,910,12.7,14.122,0.59,,19.85,41300,3.1,12.27,15.47,18.74,23.47,28.82,25530,32190,38980,48810,59950,,
30831,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,35-0000,Food Preparation and Serving Related Occupations,major,3560,6.7,55.31,0.6,,10.51,21860,2.7,7.96,8.47,9.33,11.49,14.43,16550,17610,19400,23900,30010,,
30841,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,890,6.3,13.875,0.46,,13.48,28040,5.1,8.65,9.81,11.68,14.87,21.79,17990,20410,24290,30920,45330,,
30846,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,660,10.5,10.203,0.45,,11.08,23040,3.6,8.01,8.56,9.49,11.7,17.15,16670,17810,19740,24330,35670,,
30853,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,6520,7.8,101.373,1.04,,16.44,34190,5,8.33,9.38,11.72,18.08,30.17,17330,19500,24370,37600,62750,,
30864,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,7960,3.9,123.67,0.93,,17.51,36420,1.1,10.34,13.22,16.64,20.35,26.33,21510,27500,34600,42330,54770,,
30890,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,47-0000,Construction and Extraction Occupations,major,1440,10.8,22.336,0.53,,19.31,40150,2.2,12.58,15.18,18.03,22.54,28.54,26160,31560,37500,46890,59360,,
30901,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,49-0000,"Installation, Maintenance, and Repair Occupations",major,3920,9.4,60.975,1.57,,21.09,43860,1.8,12.53,16.59,20.73,24.19,30.23,26070,34500,43130,50310,62870,,
30913,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,14970,3.9,232.628,3.73,,15.99,33250,1.3,10.12,12.62,15.65,18.3,22.09,21050,26250,32540,38070,45940,,
30943,19140,"Dalton, GA",4,0,Cross-industry,cross-industry,1235,53-0000,Transportation and Material Moving Occupations,major,9480,6.3,147.258,1.73,,14.76,30700,2.9,8.6,9.75,13.97,18.06,22.71,17880,20270,29060,37570,47230,,
30958,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,1480,7.9,55.794,1.02,,44.69,92960,3.4,17.71,25.91,38.84,55.76,76.77,36830,53880,80780,115970,159690,,
30971,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,1040,11,39.191,0.7,,27.43,57060,3.6,14.87,19.18,26.79,34.33,40.79,30920,39890,55730,71410,84840,,
30981,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,200,12.5,7.611,0.25,,31.66,65850,3.1,17.01,22.83,31.29,39.14,47.98,35390,47480,65080,81410,99810,,
30985,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,380,16.5,14.48,0.82,,33.51,69690,3,21.79,26.19,31.08,39.21,48.9,45330,54480,64640,81560,101700,,
30990,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,130,8.8,5.055,0.58,,27.62,57440,5.2,12.58,18.8,27.02,33.57,44.74,26160,39100,56200,69830,93070,,
30991,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,530,14,20.096,1.32,,22.6,47010,6.1,12.84,15.82,19.94,28.78,37.92,26710,32900,41470,59870,78880,,
30995,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,80,13.4,3.139,0.4,,39.51,82180,20.3,9.99,20.16,27.33,43.4,98.41,20780,41920,56850,90280,204700,,
30997,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,1910,3.1,71.927,1.19,,20.86,43400,3.3,10.36,13.71,19.45,26.48,33.81,21550,28510,40460,55080,70320,,
31008,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,170,20.2,6.384,0.46,,16.84,35030,6.9,8.68,9.14,14.75,22.7,29.88,18050,19020,30690,47210,62150,,
31010,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,29-0000,Healthcare Practitioners and Technical Occupations,major,1580,10.5,59.505,1.01,,36.47,75870,4,17.27,24.26,31.15,42.65,60.41,35930,50470,64790,88710,125660,,
31019,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,520,11.5,19.437,0.44,,15.81,32870,5.9,10.8,12.48,15.61,18.73,20.87,22470,25970,32470,38960,43410,,
31022,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,33-0000,Protective Service Occupations,major,770,6.5,28.859,1.21,,26.6,55320,5.3,13.57,19.99,24.95,32.32,39.68,28230,41590,51900,67220,82540,,
31027,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,35-0000,Food Preparation and Serving Related Occupations,major,2260,4.5,85.131,0.93,,11.21,23310,2.3,8.84,9.19,9.85,12.35,15.43,18390,19120,20490,25690,32090,,
31038,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,620,5.4,23.439,0.78,,14.65,30460,2.5,9.54,11.18,14.06,17.02,20.95,19830,23260,29250,35390,43580,,
31041,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,260,20.6,9.726,0.43,,14.21,29560,5.7,9.21,9.72,11.31,15.04,25.55,19150,20210,23520,31280,53140,,
31045,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,2390,10.6,89.776,0.92,,14.22,29570,4.1,8.96,9.43,11.1,15.21,23.44,18650,19610,23090,31630,48750,,
31054,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,3790,11.6,142.724,1.07,,17.62,36650,2,10.45,13.15,16.52,20.48,26.52,21730,27340,34370,42610,55160,,
31077,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,47-0000,Construction and Extraction Occupations,major,580,10.8,21.771,0.52,,27.6,57420,4.1,13.93,18.99,26.65,35.78,44.22,28980,39510,55430,74430,91970,,
31084,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,49-0000,"Installation, Maintenance, and Repair Occupations",major,1200,7.3,45.338,1.17,,21.57,44870,2.6,11.19,15.04,20.93,26.77,33.36,23280,31280,43530,55680,69390,,
31091,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,3010,15.8,113.324,1.82,,18.95,39420,2.4,11.74,13.93,17.67,22.91,28.63,24430,28970,36760,47660,59560,,
31105,19180,"Danville, IL",4,0,Cross-industry,cross-industry,1235,53-0000,Transportation and Material Moving Occupations,major,3630,7.1,136.736,1.6,,17.93,37290,4,9.94,13.01,16.72,20.2,26.77,20670,27060,34770,42020,55680,,
31117,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,2630,5,35.36,0.64,,42.77,88970,2.5,20.49,26.82,36.24,51.07,73.76,42610,55790,75380,106230,153410,,
31136,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,1860,9,24.99,0.45,,31.47,65450,2.9,16.95,21.07,27.42,36.75,51.31,35250,43830,57030,76430,106720,,
31151,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,440,16.4,5.893,0.19,,30.39,63220,5.4,13.67,18.61,27.25,37.46,51.78,28440,38700,56680,77930,107710,,
31157,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,690,16.5,9.222,0.52,,34.34,71420,4.9,16.94,22.06,30.39,44.54,60.5,35230,45890,63210,92650,125840,,
31167,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,330,21.9,4.384,0.5,,30.07,62550,9.3,14.23,17.64,25.13,32.1,48.64,29600,36690,52270,66760,101170,,
31171,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,530,5.8,7.065,0.46,,21,43670,4.1,12.86,16.44,19.54,25.58,30.56,26750,34200,40640,53210,63570,,
31176,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,280,11.2,3.768,0.48,,30.47,63370,20,9.05,16.38,23.39,32.1,59.06,18820,34070,48660,66760,122840,,
31179,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,4200,3,56.426,0.93,,19.02,39570,9,8.4,9.49,20.86,26.33,29.76,17480,19750,43380,54770,61900,,
31191,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,420,11.6,5.699,0.41,,18.24,37940,5.7,9.76,12.13,15.08,20.82,28.37,20310,25220,31370,43300,59000,,
31196,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,29-0000,Healthcare Practitioners and Technical Occupations,major,4330,9.2,58.075,0.98,,34.4,71540,5.4,13.59,18.17,26.53,35.47,62.58,28260,37790,55180,73770,130170,,
31221,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,2580,13.3,34.597,0.78,,12.49,25980,3.2,8.48,9.78,11.51,14.12,17.64,17640,20340,23940,29370,36700,,
31231,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,33-0000,Protective Service Occupations,major,1690,8,22.724,0.95,,18.94,39400,5.7,10.4,11.99,17.46,23.83,29.82,21640,24940,36320,49560,62020,,
31239,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,35-0000,Food Preparation and Serving Related Occupations,major,12630,3.3,169.545,1.85,,10.93,22740,1.4,8,8.62,9.8,12.04,15.25,16630,17920,20380,25040,31710,,
31254,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,2940,7.7,39.464,1.31,,14.44,30030,2.9,9.59,11.11,13.5,16.37,21.71,19960,23110,28070,34040,45160,,
31261,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,2160,7.7,28.961,1.29,,12.01,24990,3.5,8.07,8.77,10.26,13.16,18.7,16780,18240,21340,27380,38900,,
31272,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,12160,4.5,163.282,1.67,,17.03,35410,3.1,8.44,10.02,12.69,18.92,32.04,17560,20830,26400,39340,66640,,
31283,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,8930,2.6,119.947,0.9,,16.83,35000,1.4,10.52,12.64,15.63,19.33,24.67,21870,26290,32500,40210,51320,,
31313,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,45-0000,"Farming, Fishing, and Forestry Occupations",major,**,**,**,**,,11.49,23910,13.4,7.91,8.46,9.36,13.35,18.14,16460,17590,19470,27780,37730,,
31314,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,47-0000,Construction and Extraction Occupations,major,3250,6.5,43.623,1.03,,18.74,38970,2.1,12.12,14.19,17.58,22.45,27.72,25200,29510,36560,46690,57660,,
31334,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,49-0000,"Installation, Maintenance, and Repair Occupations",major,3780,7.6,50.706,1.3,,19.66,40890,2.7,10.99,14.01,18.41,24.01,30.42,22860,29140,38300,49940,63260,,
31352,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,3380,9.9,45.415,0.73,,16.16,33620,2.8,9.34,11.5,14.52,19.04,25.27,19430,23910,30200,39610,52560,,
31373,19300,"Daphne-Fairhope-Foley, AL",4,0,Cross-industry,cross-industry,1235,53-0000,Transportation and Material Moving Occupations,major,5210,6.1,69.998,0.82,,14.48,30130,2.5,8.65,10.06,13.2,16.68,22.45,17990,20930,27460,34700,46690,,
31390,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,10370,3.1,56.768,1.04,,49.37,102690,3.8,19.97,28.64,42.8,62.3,84.97,41540,59570,89020,129590,176730,,
31416,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,9140,3.5,50.053,0.9,,34.92,72630,3.2,17.62,23.86,33.25,43.48,52.38,36640,49630,69170,90440,108950,,
31441,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,4620,5.8,25.317,0.82,,40.04,83280,3.3,20.94,29.17,40.04,49.66,60.41,43550,60670,83280,103280,125650,,
31454,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,3770,7.8,20.622,1.17,,38.61,80320,2.5,22.16,29.01,36.93,47.24,58.19,46090,60340,76800,98260,121030,,
31475,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,880,9.6,4.831,0.55,,32.82,68270,2.5,18.36,24.07,31.88,39.05,47.78,38190,50060,66320,81220,99390,,
31482,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,2010,5.6,11.024,0.72,,21.47,44660,3.4,11.91,14.57,19.18,27.04,35.48,24760,30300,39890,56250,73800,,
31495,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,720,14.2,3.926,0.5,,54.66,113700,10.7,18.81,24.73,43.7,71.07,#,39120,51450,90890,147830,#,,
31499,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,10890,3,59.656,0.99,,24.08,50080,2.7,11.03,14.41,22.04,31.13,40.07,22940,29970,45850,64750,83350,,
31529,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,1690,7.2,9.266,0.67,,19.75,41070,3.9,8.94,11.44,16.8,25.03,35.47,18590,23790,34940,52060,73770,,
31546,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,29-0000,Healthcare Practitioners and Technical Occupations,major,11250,8.3,61.588,1.04,,32.18,66930,4.2,15.21,20.14,25.29,31.93,53.89,31640,41890,52600,66420,112090,,
31580,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,5850,6.3,32.034,0.72,,14,29130,1.5,10.26,11.4,13.3,15.52,18.93,21350,23720,27660,32290,39370,,
31590,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,33-0000,Protective Service Occupations,major,3850,5.4,21.067,0.88,,22.02,45800,4.7,9.27,11.75,20.04,29.21,37.84,19270,24450,41680,60760,78700,,
31605,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,35-0000,Food Preparation and Serving Related Occupations,major,16890,2.4,92.473,1.01,,11.26,23430,1.6,8.41,9.03,10,12.54,15.63,17500,18790,20790,26080,32500,,
31620,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,4700,4.7,25.76,0.85,,14.06,29230,2.6,9,10.08,12.08,16.82,21.88,18730,20980,25130,34980,45520,,
31628,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,3370,8.3,18.454,0.82,,13.4,27870,5.3,8.41,9.06,10.83,15.35,23.85,17480,18840,22530,31940,49620,,
31644,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,18410,3.1,100.797,1.03,,18.4,38270,2.8,9.07,10.27,13.19,20.85,33.39,18860,21370,27440,43370,69440,,
31662,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,23360,4.5,127.926,0.96,,17.57,36550,1.5,10.31,13,16.19,20.95,27.01,21450,27040,33670,43580,56190,,
31707,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,45-0000,"Farming, Fishing, and Forestry Occupations",major,300,23.3,1.624,0.49,,16.18,33660,4.1,11.84,13.37,15.29,18.19,21.37,24640,27810,31800,37830,44450,,
31710,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,47-0000,Construction and Extraction Occupations,major,8110,4.6,44.406,1.05,,25.97,54010,2.1,13.8,18.03,25.08,32.09,40.31,28700,37500,52170,66750,83840,,
31732,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,49-0000,"Installation, Maintenance, and Repair Occupations",major,8340,5.7,45.659,1.17,,22.96,47760,1.5,12.44,16.31,22.06,28.73,35.2,25870,33920,45880,59750,73220,,
31762,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,16350,8.6,89.517,1.44,,18.87,39240,2.2,12.06,14.2,17.35,22.12,29.09,25090,29540,36080,46020,60510,,
31804,19340,"Davenport-Moline-Rock Island, IA-IL",4,0,Cross-industry,cross-industry,1235,53-0000,Transportation and Material Moving Occupations,major,17750,7.7,97.231,1.14,,17.57,36550,2.7,9.36,11.67,16.2,21.49,28.78,19470,24280,33700,44710,59860,,
31824,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,15890,2.9,41.748,0.76,,53.82,111940,1.3,24.53,34.63,48.12,65.98,89.77,51020,72030,100090,137230,186730,,
31851,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,23560,2.6,61.93,1.11,,37.53,78070,1.2,20.19,26.33,36.11,46.11,56.17,42000,54770,75110,95900,116840,,
31878,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,15960,5.3,41.938,1.35,,40.15,83520,2,20.73,28.16,38.53,50.2,62.33,43130,58570,80150,104410,129640,,
31895,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,11300,4.6,29.7,1.68,,44.12,91770,4.3,23.38,30.82,42.15,55.83,68.65,48630,64100,87670,116120,142780,,
31923,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,3150,4.4,8.277,0.94,,38.7,80490,5.2,19.61,27.6,36.94,48.09,58.68,40780,57410,76840,100020,122060,,
31946,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,5890,4.1,15.484,1.01,,23.07,47980,2.1,13.27,16.79,21.96,28.4,35.73,27590,34920,45670,59070,74330,,
31960,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,2260,5.9,5.936,0.76,,37.58,78170,4.9,15.65,18.93,30.05,48.09,68.89,32560,39380,62500,100040,143280,,
31966,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,23910,5.8,62.839,1.04,,27.94,58110,3.5,11.54,16.35,25.87,35.83,45.07,24000,34010,53820,74520,93750,,
32010,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,5330,7.5,13.998,1.02,,24.8,51580,3.8,10.39,15.15,21.89,31.14,42.06,21600,31510,45540,64770,87490,,
32036,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,29-0000,Healthcare Practitioners and Technical Occupations,major,32050,7.4,84.222,1.43,,38.95,81020,3.6,17.27,23.82,31.22,42.14,64.99,35910,49540,64950,87650,135190,,
32081,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,15720,4.3,41.315,0.93,,14.7,30580,1.8,10.1,11.13,13.14,16.39,20.3,21020,23160,27330,34100,42220,,
32096,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,33-0000,Protective Service Occupations,major,7160,5.3,18.826,0.79,,22.46,46710,4.7,9.62,12.19,20.24,30.79,38.16,20010,25360,42110,64040,79370,,
32111,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,35-0000,Food Preparation and Serving Related Occupations,major,33860,2.3,88.98,0.97,,12.05,25070,1.5,8.88,9.28,10.46,13.2,18.34,18470,19310,21760,27450,38150,,
32126,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,10980,6.5,28.866,0.96,,14.35,29850,2.1,9.33,10.34,12.71,16.64,22.2,19400,21500,26440,34610,46180,,
32134,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,5790,7.9,15.206,0.68,,12.88,26800,2,8.96,9.4,11.04,14.69,19.15,18630,19560,22970,30550,39830,,
32149,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,34550,5,90.795,0.93,,18.64,38780,2.2,9.04,9.7,12.35,19.99,35.44,18800,20170,25680,41570,73720,,
32168,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,43-0000,Office and Administrative Support Occupations,major,46450,3.2,122.064,0.92,,18.75,39010,0.7,11.08,14.1,17.68,22.34,28.54,23040,29320,36780,46470,59360,,
32213,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,45-0000,"Farming, Fishing, and Forestry Occupations",major,160,23.2,0.409,0.12,,16.8,34950,3.4,9.44,10.69,13.45,19,30.45,19630,22240,27980,39520,63340,,
32215,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,47-0000,Construction and Extraction Occupations,major,10040,7.8,26.394,0.63,,23.58,49060,1.3,14.24,17.37,22.78,28.84,35.01,29620,36130,47370,59990,72810,,
32240,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,49-0000,"Installation, Maintenance, and Repair Occupations",major,13030,5.2,34.257,0.88,,22.22,46220,1.2,11.84,16.18,21.51,27.57,32.89,24630,33660,44730,57350,68420,,
32269,19380,"Dayton, OH",4,0,Cross-industry,cross-industry,1235,51-0000,Production Occupations,major,32350,4.1,85.012,1.36,,18.31,38090,1.3,11.1,13.32,16.72,21.9,27.92,23080,27710,34780,45550,58070,,
