,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
85616,NM,22140,"Farmington, NM",29-0000,Healthcare Practitioners and Technical Occupations,major,2600,4.4,53.795,0.9,40.58,84410,5,14.96,23.39,32.34,44.03,74.95,31120,48640,67260,91580,155890,2018
85635,NM,22140,"Farmington, NM",31-0000,Healthcare Support Occupations,major,1520,13.4,31.501,1.11,15.07,31340,2.6,9.73,11.39,14.21,18.19,21.88,20240,23690,29550,37840,45500,2018
85642,NM,22140,"Farmington, NM",33-0000,Protective Service Occupations,major,1070,5.3,22.133,0.93,18.4,38270,4.8,9.49,12.11,17.22,22.88,29.22,19740,25180,35810,47590,60780,2018
85650,NM,22140,"Farmington, NM",35-0000,Food Preparation and Serving Related Occupations,major,5380,15.6,111.51,1.21,10.02,20840,1.5,8.15,8.55,9.2,10.29,12.59,16950,17790,19140,21400,26190,2018
85664,NM,22140,"Farmington, NM",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,1530,8.3,31.747,1.04,12.35,25690,2.3,8.56,9.41,11.05,13.88,18.45,17800,19570,22990,28870,38380,2018
85669,NM,22140,"Farmington, NM",39-0000,Personal Care and Service Occupations,major,2520,9.1,52.194,1.39,11.53,23990,2.8,8.34,9.07,10.56,12.43,15.97,17350,18860,21970,25850,33220,2018
85677,NM,22140,"Farmington, NM",41-0000,Sales and Related Occupations,major,4740,12.1,98.219,0.98,16.86,35080,5.5,8.65,9.74,11.62,18.44,30.82,18000,20270,24160,38360,64100,2018
85689,NM,22140,"Farmington, NM",43-0000,Office and Administrative Support Occupations,major,6290,3.8,130.239,0.86,16.5,34320,1.5,9.11,11.55,15.14,19.85,25.33,18940,24020,31480,41290,52690,2018
85715,NM,22140,"Farmington, NM",47-0000,Construction and Extraction Occupations,major,5930,8.4,122.811,2.98,24.77,51530,2.6,13.36,16.6,21.86,31.41,39.04,27790,34530,45470,65330,81200,2018
85740,NM,22140,"Farmington, NM",49-0000,"Installation, Maintenance, and Repair Occupations",major,3020,6.5,62.49,1.61,24.09,50110,3.4,11.75,15.03,21.66,31.44,40.99,24450,31270,45050,65400,85270,2018
85755,NM,22140,"Farmington, NM",51-0000,Production Occupations,major,2340,11.3,48.424,0.77,26.4,54910,4.5,11.22,15.77,23.57,36.78,45.39,23330,32790,49010,76500,94420,2018
85770,NM,22140,"Farmington, NM",53-0000,Transportation and Material Moving Occupations,major,2990,6.2,61.866,0.87,18.11,37660,3,8.83,11.45,16.97,22.7,28.99,18370,23820,35310,47210,60290,2018
85783,NM,29740,"Las Cruces, NM",11-0000,Management Occupations,major,2730,3.8,38.804,0.74,42.84,89120,2.4,21.44,28.37,39.16,50.33,68.03,44600,59000,81460,104690,141500,2018
85800,NM,29740,"Las Cruces, NM",13-0000,Business and Financial Operations Occupations,major,2850,3.4,40.404,0.76,28.78,59870,5.3,12.47,18.07,25.12,37.29,49.79,25940,37580,52250,77570,103560,2018
85818,NM,29740,"Las Cruces, NM",15-0000,Computer and Mathematical Occupations,major,1700,8.7,24.149,0.8,34.55,71860,4.8,14.96,22.86,33.14,44.74,57.51,31110,47560,68930,93060,119610,2018
85829,NM,29740,"Las Cruces, NM",17-0000,Architecture and Engineering Occupations,major,1770,9,25.133,1.42,39.12,81370,4,21.26,28.82,38.27,46.7,56.59,44220,59940,79600,97140,117710,2018
85843,NM,29740,"Las Cruces, NM",19-0000,"Life, Physical, and Social Science Occupations",major,700,8,9.953,1.23,32.82,68270,3.8,16.06,22.16,29.66,40.9,54.53,33400,46080,61690,85070,113430,2018
85851,NM,29740,"Las Cruces, NM",21-0000,Community and Social Service Occupations,major,1280,7,18.13,1.21,22.1,45970,5.4,12.83,15.75,19.97,26.52,35.92,26690,32750,41530,55160,74710,2018
85858,NM,29740,"Las Cruces, NM",23-0000,Legal Occupations,major,310,19.8,4.447,0.57,40.82,84900,8.2,16.35,21.61,33.68,46.39,73.53,34000,44960,70050,96500,152940,2018
85861,NM,29740,"Las Cruces, NM",25-0000,"Education, Training, and Library Occupations",major,6360,1.7,90.246,1.49,27.13,56430,2.9,8.98,12.56,28.39,38.54,46.48,18680,26130,59060,80150,96680,2018
85873,NM,29740,"Las Cruces, NM",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,610,31.1,8.649,0.64,24.31,50560,4.1,12.38,17.2,24.11,29.07,35.25,25740,35770,50150,60470,73310,2018
85877,NM,29740,"Las Cruces, NM",29-0000,Healthcare Practitioners and Technical Occupations,major,4040,9.6,57.331,0.96,36.49,75900,3.5,14.2,22.67,31.59,43.49,63.18,29540,47160,65720,90460,131420,2018
85903,NM,29740,"Las Cruces, NM",31-0000,Healthcare Support Occupations,major,2950,14.1,41.884,1.47,12.03,25020,3.8,8.33,9.05,11.03,13.91,17.13,17330,18820,22950,28930,35620,2018
85911,NM,29740,"Las Cruces, NM",33-0000,Protective Service Occupations,major,2760,3,39.179,1.65,23.48,48840,10,10.78,14.77,20.05,30.67,41.15,22430,30720,41700,63800,85600,2018
85920,NM,29740,"Las Cruces, NM",35-0000,Food Preparation and Serving Related Occupations,major,7640,3.2,108.537,1.17,10.54,21920,1.8,8.2,8.7,9.56,11.35,14.44,17070,18090,19890,23620,30040,2018
85934,NM,29740,"Las Cruces, NM",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,2060,6.9,29.2,0.96,11.48,23880,1.9,8.48,9.27,10.65,12.32,15.69,17630,19280,22150,25620,32630,2018
85941,NM,29740,"Las Cruces, NM",39-0000,Personal Care and Service Occupations,major,4280,7.7,60.701,1.61,10.69,22230,2.6,8.24,8.7,9.48,11.23,14.46,17130,18100,19720,23360,30080,2018
85950,NM,29740,"Las Cruces, NM",41-0000,Sales and Related Occupations,major,6240,6.6,88.537,0.88,15.23,31680,2.9,8.58,9.7,12,17.3,25.6,17840,20180,24960,35980,53250,2018
85964,NM,29740,"Las Cruces, NM",43-0000,Office and Administrative Support Occupations,major,10810,4.3,153.493,1.02,14.74,30660,1.8,9.11,10.75,13.46,17.38,22.46,18950,22360,27990,36160,46720,2018
85996,NM,29740,"Las Cruces, NM",45-0000,"Farming, Fishing, and Forestry Occupations",major,1090,10.2,15.488,4.67,11.42,23760,3.1,8.06,8.62,9.75,13.42,17.31,16770,17930,20270,27910,36010,2018
86000,NM,29740,"Las Cruces, NM",47-0000,Construction and Extraction Occupations,major,3100,5.1,44.073,1.07,18.48,38440,2.6,11.24,13.58,16.7,21.2,28.4,23380,28260,34740,44100,59070,2018
86017,NM,29740,"Las Cruces, NM",49-0000,"Installation, Maintenance, and Repair Occupations",major,2340,6.4,33.281,0.86,18.8,39090,2.9,10.35,13.1,17.36,23.09,30.46,21520,27250,36110,48020,63360,2018
86030,NM,29740,"Las Cruces, NM",51-0000,Production Occupations,major,1990,8.8,28.206,0.45,15.59,32430,3,8.86,10.22,12.84,18.99,26.03,18420,21260,26710,39500,54150,2018
86044,NM,29740,"Las Cruces, NM",53-0000,Transportation and Material Moving Occupations,major,2830,8.9,40.171,0.57,14.63,30420,4.4,8.79,10.07,12.23,16.62,22.49,18280,20950,25430,34570,46790,2018
86059,NM,42140,"Santa Fe, NM",11-0000,Management Occupations,major,3660,3.7,59.405,1.13,43.67,90840,2.8,20.7,29.83,38.58,49.4,68.46,43050,62050,80250,102750,142390,2018
86077,NM,42140,"Santa Fe, NM",13-0000,Business and Financial Operations Occupations,major,4030,2.9,65.434,1.23,29.92,62230,6.9,17.54,20.56,24.82,32.37,43.49,36480,42760,51620,67330,90470,2018
86096,NM,42140,"Santa Fe, NM",15-0000,Computer and Mathematical Occupations,major,1530,4.9,24.764,0.82,32.25,67080,4.1,15.22,24.41,32.7,38.42,46.01,31660,50770,68010,79910,95710,2018
86105,NM,42140,"Santa Fe, NM",17-0000,Architecture and Engineering Occupations,major,790,7.8,12.851,0.73,33.44,69550,5,18.02,22.47,29.62,38.01,49.33,37480,46730,61610,79060,102620,2018
86114,NM,42140,"Santa Fe, NM",19-0000,"Life, Physical, and Social Science Occupations",major,830,4.4,13.4,1.65,30.6,63650,2.9,18.98,24.34,28.79,33.29,43.65,39480,50630,59890,69250,90800,2018
86122,NM,42140,"Santa Fe, NM",21-0000,Community and Social Service Occupations,major,1290,7.1,20.996,1.4,21.97,45690,3.3,12.72,16.09,20.98,26.52,31.57,26460,33470,43640,55150,65670,2018
86133,NM,42140,"Santa Fe, NM",23-0000,Legal Occupations,major,760,9,12.299,1.58,39.39,81930,8.6,20.79,25.77,34.84,43.42,59.05,43250,53600,72460,90310,122830,2018
86137,NM,42140,"Santa Fe, NM",25-0000,"Education, Training, and Library Occupations",major,3680,6.3,59.687,0.98,29.44,61240,8.1,12.1,17.45,25.54,31.52,42.9,25170,36300,53110,65560,89240,2018
86151,NM,42140,"Santa Fe, NM",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,780,7.7,12.604,0.93,28.12,58490,11.6,12.1,15.26,22.45,30.78,44,25160,31730,46700,64020,91520,2018
86159,NM,42140,"Santa Fe, NM",29-0000,Healthcare Practitioners and Technical Occupations,major,3170,4.5,51.473,0.86,40.56,84360,4.3,17.21,23.83,33.68,46.22,72.62,35800,49570,70050,96130,151050,2018
86178,NM,42140,"Santa Fe, NM",31-0000,Healthcare Support Occupations,major,1540,13.2,25.048,0.88,17.34,36060,2.1,12.6,14.35,16.91,19.56,23.67,26200,29860,35180,40680,49230,2018
86186,NM,42140,"Santa Fe, NM",33-0000,Protective Service Occupations,major,2150,5.9,34.831,1.47,18.27,38000,3.3,7.66,12.96,17.21,21.56,28.3,15930,26960,35790,44840,58870,2018
86197,NM,42140,"Santa Fe, NM",35-0000,Food Preparation and Serving Related Occupations,major,7730,8.2,125.481,1.36,11.89,24740,1.9,8.39,9.18,10.98,13.74,15.94,17460,19100,22850,28570,33160,2018
86212,NM,42140,"Santa Fe, NM",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,2500,4.9,40.517,1.33,14.3,29740,3.6,9.76,11.19,13.53,16.53,19.61,20290,23270,28130,34370,40790,2018
86218,NM,42140,"Santa Fe, NM",39-0000,Personal Care and Service Occupations,major,3190,31.4,51.749,1.37,11.93,24810,6.6,8.44,9.1,10.38,13.39,17.93,17560,18930,21600,27840,37300,2018
86231,NM,42140,"Santa Fe, NM",41-0000,Sales and Related Occupations,major,6570,4.5,106.624,1.06,17.66,36720,3.5,10.2,11.84,14.53,18.98,28.3,21220,24630,30220,39480,58870,2018
86244,NM,42140,"Santa Fe, NM",43-0000,Office and Administrative Support Occupations,major,9620,3.3,156.269,1.04,18.68,38860,2.1,10.76,13.61,17.39,23.07,29.32,22390,28300,36170,47980,61000,2018
86273,NM,42140,"Santa Fe, NM",47-0000,Construction and Extraction Occupations,major,2530,5.2,41.04,1,20.12,41850,3,13.3,15.42,18.31,23.36,29.61,27670,32080,38090,48590,61600,2018
86288,NM,42140,"Santa Fe, NM",49-0000,"Installation, Maintenance, and Repair Occupations",major,1870,6.8,30.4,0.78,20.41,42460,2.1,12.38,15.32,18.41,23.83,32.47,25750,31860,38300,49560,67530,2018
86300,NM,42140,"Santa Fe, NM",51-0000,Production Occupations,major,1310,9,21.312,0.34,17.15,35660,5.3,9.3,11.29,14.79,21.06,28.94,19340,23490,30760,43800,60200,2018
86312,NM,42140,"Santa Fe, NM",53-0000,Transportation and Material Moving Occupations,major,2060,8.2,33.496,0.47,15.78,32830,3.4,8.99,10.87,14.31,18.43,23.62,18700,22600,29760,38330,49130,2018
86326,NV,16180,"Carson City, NV",11-0000,Management Occupations,major,1670,3.2,57.379,1.09,55.82,116110,4.8,25.89,35.19,46.82,62.61,99.09,53850,73190,97400,130220,206110,2018
86340,NV,16180,"Carson City, NV",13-0000,Business and Financial Operations Occupations,major,1990,2.1,68.31,1.28,30.08,62560,1.8,20.07,23.9,28.65,35.22,43.06,41750,49720,59580,73250,89560,2018
86353,NV,16180,"Carson City, NV",15-0000,Computer and Mathematical Occupations,major,910,4.6,31.361,1.04,33.65,70000,2.5,20.71,25.62,31.97,40.85,47.95,43080,53290,66500,84980,99740,2018
86358,NV,16180,"Carson City, NV",17-0000,Architecture and Engineering Occupations,major,680,3.6,23.247,1.32,32.03,66620,1.8,20.14,25.53,30.56,37.87,46.69,41900,53110,63570,78760,97110,2018
86362,NV,16180,"Carson City, NV",19-0000,"Life, Physical, and Social Science Occupations",major,470,2.2,16.188,2,30.63,63700,1.7,17.38,23.27,28.99,36.78,44.66,36140,48410,60300,76500,92900,2018
86364,NV,16180,"Carson City, NV",21-0000,Community and Social Service Occupations,major,480,1.5,16.635,1.11,26.56,55240,2.3,17.36,21.07,26.17,31.72,37.16,36100,43820,54430,65970,77300,2018
86369,NV,16180,"Carson City, NV",23-0000,Legal Occupations,major,480,7.5,16.349,2.1,43.77,91040,5.5,22.15,27.51,37.91,49.66,81.77,46060,57210,78850,103290,170070,2018
86372,NV,16180,"Carson City, NV",25-0000,"Education, Training, and Library Occupations",major,1290,1.1,44.503,0.73,21.87,45500,1.7,10.64,14.48,20.11,28.97,35.44,22140,30120,41830,60260,73720,2018
86377,NV,16180,"Carson City, NV",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,200,8.9,6.973,0.52,24.48,50910,5.7,11.48,15.46,23.03,31.46,40.46,23890,32150,47900,65430,84160,2018
86379,NV,16180,"Carson City, NV",29-0000,Healthcare Practitioners and Technical Occupations,major,2140,3.7,73.598,1.23,41.46,86230,3.7,19.87,28.93,38.1,47.71,62.13,41330,60180,79240,99240,129220,2018
86397,NV,16180,"Carson City, NV",31-0000,Healthcare Support Occupations,major,800,8.6,27.373,0.96,17.35,36090,3,12.75,14.63,16.93,19.25,23.44,26520,30430,35210,40050,48750,2018
86402,NV,16180,"Carson City, NV",33-0000,Protective Service Occupations,major,970,3.2,33.318,1.4,24.87,51730,5.2,10.49,19.61,25.61,30.17,37.07,21820,40780,53270,62750,77110,2018
86406,NV,16180,"Carson City, NV",35-0000,Food Preparation and Serving Related Occupations,major,2670,3.2,91.78,0.99,11.21,23320,2,8.01,8.69,10.08,12.71,15.48,16670,18080,20960,26440,32200,2018
86418,NV,16180,"Carson City, NV",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,710,8.7,24.529,0.8,14.49,30150,3.1,8.85,10.97,14.01,17.31,20.53,18400,22830,29140,36010,42700,2018
86422,NV,16180,"Carson City, NV",39-0000,Personal Care and Service Occupations,major,1000,13,34.267,0.91,12.09,25140,3.5,8.31,9.48,10.8,12.16,18.51,17280,19720,22460,25290,38500,2018
86431,NV,16180,"Carson City, NV",41-0000,Sales and Related Occupations,major,2650,5.9,90.965,0.91,19.16,39850,3.8,8.91,10.69,14.63,23.32,34.23,18540,22240,30430,48510,71190,2018
86445,NV,16180,"Carson City, NV",43-0000,Office and Administrative Support Occupations,major,5080,3.8,174.604,1.16,18.83,39170,2.6,11.59,14.5,18.03,22.46,27.37,24100,30170,37510,46720,56930,2018
86469,NV,16180,"Carson City, NV",47-0000,Construction and Extraction Occupations,major,1120,9.2,38.541,0.94,24.94,51870,6.3,13.73,17.34,22.41,30.13,43.18,28550,36060,46610,62670,89810,2018
86477,NV,16180,"Carson City, NV",49-0000,"Installation, Maintenance, and Repair Occupations",major,1200,6.3,41.319,1.06,21.93,45610,3,13.12,16.39,21.16,26.45,31.3,27290,34100,44020,55020,65100,2018
86484,NV,16180,"Carson City, NV",51-0000,Production Occupations,major,1700,7,58.356,0.93,18.19,37830,1.8,11.45,13.58,17.09,21.63,26.98,23820,28250,35540,44980,56120,2018
86501,NV,16180,"Carson City, NV",53-0000,Transportation and Material Moving Occupations,major,880,6,30.099,0.43,15.27,31760,3.3,8.72,10.33,13.25,18.5,24.35,18130,21480,27570,38490,50650,2018
86513,NV,29820,"Las Vegas-Henderson-Paradise, NV",11-0000,Management Occupations,major,46030,2.2,46.643,0.89,55.52,115490,1.4,25.26,33.41,47.15,65.6,98.08,52550,69500,98060,136440,204010,2018
86544,NV,29820,"Las Vegas-Henderson-Paradise, NV",13-0000,Business and Financial Operations Occupations,major,35430,3.2,35.903,0.67,33.02,68690,1.8,17.95,23.26,29.57,38.44,49.84,37340,48370,61510,79950,103670,2018
86574,NV,29820,"Las Vegas-Henderson-Paradise, NV",15-0000,Computer and Mathematical Occupations,major,14870,5.6,15.072,0.5,38.43,79920,3.2,18.65,25.24,36.2,48.54,61.36,38790,52490,75290,100960,127630,2018
86589,NV,29820,"Las Vegas-Henderson-Paradise, NV",17-0000,Architecture and Engineering Occupations,major,8470,5.3,8.584,0.49,37.82,78670,2.1,19.24,26.52,35.86,46.59,58.5,40020,55160,74600,96910,121680,2018
86616,NV,29820,"Las Vegas-Henderson-Paradise, NV",19-0000,"Life, Physical, and Social Science Occupations",major,3210,4.7,3.253,0.4,33,68640,3,15.82,21.05,30.2,41.03,53.65,32910,43780,62820,85340,111600,2018
86637,NV,29820,"Las Vegas-Henderson-Paradise, NV",21-0000,Community and Social Service Occupations,major,8330,3,8.442,0.56,25.51,53050,2.7,13.43,19.08,24.18,30.67,38.2,27930,39700,50290,63790,79450,2018
86652,NV,29820,"Las Vegas-Henderson-Paradise, NV",23-0000,Legal Occupations,major,6650,5.8,6.736,0.86,51.3,106710,3.7,23.02,29.06,42.59,63.18,92.09,47890,60430,88600,131400,191540,2018
86660,NV,29820,"Las Vegas-Henderson-Paradise, NV",25-0000,"Education, Training, and Library Occupations",major,37600,1.1,38.105,0.63,23.78,49460,1.9,12.35,14.95,22.74,29.84,36.88,25690,31090,47300,62070,76710,2018
86688,NV,29820,"Las Vegas-Henderson-Paradise, NV",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,15650,6.3,15.859,1.18,26.46,55030,3,11.93,15.33,23.92,32.87,41.75,24810,31890,49760,68370,86850,2018
86720,NV,29820,"Las Vegas-Henderson-Paradise, NV",29-0000,Healthcare Practitioners and Technical Occupations,major,45500,2.4,46.102,0.77,43.11,89670,2.4,17.56,27.02,38.57,49.42,64.34,36530,56210,80220,102800,133830,2018
86770,NV,29820,"Las Vegas-Henderson-Paradise, NV",31-0000,Healthcare Support Occupations,major,19520,3.7,19.776,0.7,17.36,36110,1.7,10.92,13.37,16.35,19.89,24.84,22720,27800,34000,41370,51670,2018
86787,NV,29820,"Las Vegas-Henderson-Paradise, NV",33-0000,Protective Service Occupations,major,34150,3.4,34.608,1.46,20.92,43500,8.7,10.23,12.67,16.64,26.03,41.33,21270,26350,34610,54140,85960,2018
86805,NV,29820,"Las Vegas-Henderson-Paradise, NV",35-0000,Food Preparation and Serving Related Occupations,major,151260,1.2,153.278,1.66,13.37,27810,1.4,8.32,9.42,12.14,15.64,19.76,17310,19590,25250,32540,41090,2018
86823,NV,29820,"Las Vegas-Henderson-Paradise, NV",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,56770,1.8,57.529,1.88,15.57,32380,1.4,9.65,12.14,16.19,18.41,20.22,20080,25260,33660,38300,42060,2018
86834,NV,29820,"Las Vegas-Henderson-Paradise, NV",39-0000,Personal Care and Service Occupations,major,65750,2,66.629,1.77,13.37,27800,1.2,8.08,8.82,10.55,15.13,23.57,16810,18340,21950,31470,49030,2018
86863,NV,29820,"Las Vegas-Henderson-Paradise, NV",41-0000,Sales and Related Occupations,major,105280,2.1,106.684,1.06,17.42,36230,2.1,8.65,10.14,12.92,19.13,30.88,17990,21090,26880,39790,64230,2018
86884,NV,29820,"Las Vegas-Henderson-Paradise, NV",43-0000,Office and Administrative Support Occupations,major,150390,1.5,152.397,1.01,17.56,36530,0.8,10.18,12.83,16.61,21.18,27.02,21180,26690,34550,44050,56190,2018
86939,NV,29820,"Las Vegas-Henderson-Paradise, NV",45-0000,"Farming, Fishing, and Forestry Occupations",major,450,39.8,0.459,0.14,14.23,29600,13,9.66,10.39,11.6,14.26,17.85,20100,21610,24120,29660,37130,2018
86942,NV,29820,"Las Vegas-Henderson-Paradise, NV",47-0000,Construction and Extraction Occupations,major,47960,2.8,48.604,1.18,23.95,49810,1.8,12.47,16.23,21.81,29.83,40.13,25940,33770,45370,62060,83470,2018
86977,NV,29820,"Las Vegas-Henderson-Paradise, NV",49-0000,"Installation, Maintenance, and Repair Occupations",major,33800,2.9,34.246,0.88,24.56,51090,1.3,12.73,16.75,23.64,31.05,37.98,26480,34840,49160,64580,79000,2018
87016,NV,29820,"Las Vegas-Henderson-Paradise, NV",51-0000,Production Occupations,major,27500,3.5,27.863,0.44,17.32,36020,1.9,9.85,11.44,15.07,20.44,28.35,20490,23790,31340,42520,58960,2018
87074,NV,29820,"Las Vegas-Henderson-Paradise, NV",53-0000,Transportation and Material Moving Occupations,major,72270,3.1,73.228,1.03,18.5,38480,6.3,9.12,11.06,14.47,21.03,30.06,18970,23010,30110,43730,62520,2018
87104,NV,39900,"Reno, NV",11-0000,Management Occupations,major,11350,2.6,48.685,0.93,54.21,112760,1.7,26.64,34.5,46.81,63.2,90.94,55410,71760,97360,131460,189150,2018
87131,NV,39900,"Reno, NV",13-0000,Business and Financial Operations Occupations,major,9380,3.5,40.215,0.75,33.74,70180,2.3,17.42,23.44,29.79,38.34,49.43,36240,48740,61970,79750,102820,2018
87155,NV,39900,"Reno, NV",15-0000,Computer and Mathematical Occupations,major,3550,4.9,15.243,0.5,36.99,76940,4.1,17.72,24.08,33.58,44.53,59.51,36850,50080,69850,92620,123780,2018
87168,NV,39900,"Reno, NV",17-0000,Architecture and Engineering Occupations,major,3020,4.9,12.971,0.73,40.59,84430,4.4,18.45,26.17,35.99,47.76,62.18,38380,54430,74860,99330,129340,2018
87192,NV,39900,"Reno, NV",19-0000,"Life, Physical, and Social Science Occupations",major,2650,4.1,11.361,1.4,29.13,60590,3.5,15.27,19.11,25.1,35.91,47.55,31750,39750,52200,74690,98900,2018
87212,NV,39900,"Reno, NV",21-0000,Community and Social Service Occupations,major,2730,4.5,11.716,0.78,25.42,52880,3.3,15.28,19.42,25.39,30.25,37.26,31770,40390,52810,62920,77510,2018
87226,NV,39900,"Reno, NV",23-0000,Legal Occupations,major,1200,9.1,5.164,0.66,56.69,117910,11.7,21.61,29.22,46.3,72.14,#,44950,60790,96300,150060,#,2018
87232,NV,39900,"Reno, NV",25-0000,"Education, Training, and Library Occupations",major,11030,2.6,47.33,0.78,26.01,54100,6.3,11.32,16.83,25.85,29.92,36.48,23550,35010,53770,62220,75880,2018
87258,NV,39900,"Reno, NV",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2820,8.9,12.084,0.9,23.14,48140,3.2,11.54,14.34,19.09,28.73,39.79,23990,29820,39710,59770,82770,2018
87280,NV,39900,"Reno, NV",29-0000,Healthcare Practitioners and Technical Occupations,major,11930,4.2,51.163,0.86,43.53,90550,3.9,17.45,26.33,35.9,46.62,74.33,36300,54760,74670,96980,154600,2018
87314,NV,39900,"Reno, NV",31-0000,Healthcare Support Occupations,major,4530,7.6,19.41,0.68,16.85,35040,2.2,11.14,13.56,16.62,19.04,23.37,23180,28200,34570,39600,48600,2018
87328,NV,39900,"Reno, NV",33-0000,Protective Service Occupations,major,4540,13.9,19.489,0.82,23.02,47870,7.7,9.33,12.02,20.77,31.59,38.28,19400,25000,43190,65710,79620,2018
87342,NV,39900,"Reno, NV",35-0000,Food Preparation and Serving Related Occupations,major,24180,2.4,103.698,1.12,11.18,23260,1.7,8.02,8.67,9.87,12.37,15.74,16680,18040,20530,25720,32740,2018
87359,NV,39900,"Reno, NV",37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,9300,2.8,39.887,1.31,13.2,27460,2,8.92,10.27,12.14,14.88,18.69,18560,21360,25240,30940,38870,2018
87366,NV,39900,"Reno, NV",39-0000,Personal Care and Service Occupations,major,9510,5.4,40.793,1.08,12.82,26670,2.8,8.27,9.21,10.84,13.63,21.46,17190,19160,22540,28360,44640,2018
87387,NV,39900,"Reno, NV",41-0000,Sales and Related Occupations,major,23590,5.1,101.192,1.01,19.14,39820,3.6,8.73,10.19,13.05,21.11,34.85,18160,21200,27150,43900,72500,2018
87407,NV,39900,"Reno, NV",43-0000,Office and Administrative Support Occupations,major,35740,2.9,153.289,1.02,18.35,38180,1,11.25,13.76,17.24,21.94,28.31,23410,28630,35870,45640,58890,2018
87455,NV,39900,"Reno, NV",45-0000,"Farming, Fishing, and Forestry Occupations",major,**,**,**,**,15.97,33230,4.6,11.91,12.99,14.48,18.45,23.42,24770,27030,30110,38380,48720,2018
87456,NV,39900,"Reno, NV",47-0000,Construction and Extraction Occupations,major,14400,4.1,61.782,1.5,24.7,51380,2,14.05,17.41,23.14,30.21,38.04,29220,36220,48130,62850,79120,2018
87484,NV,39900,"Reno, NV",49-0000,"Installation, Maintenance, and Repair Occupations",major,8720,4.9,37.413,0.96,23.05,47950,1.6,13.12,16.6,22.02,28.55,34.91,27280,34520,45790,59380,72610,2018
87512,NV,39900,"Reno, NV",51-0000,Production Occupations,major,17070,2.8,73.223,1.16,17.03,35420,1.8,10.88,13.4,16.05,18.48,24.85,22630,27860,33380,38440,51690,2018
87556,NV,39900,"Reno, NV",53-0000,Transportation and Material Moving Occupations,major,21810,4.7,93.551,1.32,17.84,37100,2.2,10.83,13.13,15.64,21.6,27.89,22530,27320,32520,44930,58020,2018
87577,NY,10580,"Albany-Schenectady-Troy, NY",11-0000,Management Occupations,major,22800,2.2,50.465,0.96,57.42,119430,1.1,28.49,38.28,51.58,68.96,93.14,59250,79620,107280,143440,193730,2018
87610,NY,10580,"Albany-Schenectady-Troy, NY",13-0000,Business and Financial Operations Occupations,major,27380,2.3,60.61,1.14,34.74,72260,1.3,20.26,25.26,31.98,41.17,50.97,42140,52530,66520,85630,106030,2018
87637,NY,10580,"Albany-Schenectady-Troy, NY",15-0000,Computer and Mathematical Occupations,major,15750,3.4,34.867,1.15,38.65,80390,1.3,22.05,29.05,37.17,46.42,57.89,45850,60420,77320,96540,120420,2018
87654,NY,10580,"Albany-Schenectady-Troy, NY",17-0000,Architecture and Engineering Occupations,major,10500,5.1,23.245,1.32,43.61,90710,2.2,25.47,32.11,40.83,51.84,64.29,52980,66790,84930,107820,133720,2018
87680,NY,10580,"Albany-Schenectady-Troy, NY",19-0000,"Life, Physical, and Social Science Occupations",major,7470,20.6,16.53,2.04,32.24,67070,5,15.1,20.24,29.44,41.7,54.13,31410,42100,61230,86740,112590,2018
87704,NY,10580,"Albany-Schenectady-Troy, NY",21-0000,Community and Social Service Occupations,major,9900,4.3,21.921,1.46,25.07,52150,2.5,13.01,16.5,23.79,31.35,39.58,27070,34320,49480,65210,82320,2018
87720,NY,10580,"Albany-Schenectady-Troy, NY",23-0000,Legal Occupations,major,5260,3.7,11.651,1.5,47.64,99080,2.8,21.79,28.98,42.96,58.74,77.81,45320,60270,89360,122180,161840,2018
87726,NY,10580,"Albany-Schenectady-Troy, NY",25-0000,"Education, Training, and Library Occupations",major,35850,3.5,79.35,1.31,29.58,61520,5,11.53,15.67,25.21,37.24,49.16,23970,32600,52450,77470,102250,2018
87781,NY,10580,"Albany-Schenectady-Troy, NY",27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,5660,5.6,12.522,0.93,29.32,60980,3,12.87,17.51,24.75,34.73,48.17,26780,36430,51480,72230,100200,2018
87809,NY,10580,"Albany-Schenectady-Troy, NY",29-0000,Healthcare Practitioners and Technical Occupations,major,30280,1.7,67.012,1.12,37.6,78200,2.4,17.68,24.01,31.06,41.02,61.68,36760,49950,64600,85320,128300,2018
