,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
10662,CA,33700,"Modesto, CA",23-0000,Legal occupations,major,770,13.0,33.59,69860,8.7,14.88,17.74,23.65,48.32,69.33,30940,36910,49190,100510,144200,2006
10665,CA,33700,"Modesto, CA",25-0000,"Education, training, and library occupations",major,13020,5.9,24.14,50220,2.6,12.16,16.21,23.28,31.36,38.18,25290,33720,48420,65230,79410,2006
10682,CA,33700,"Modesto, CA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,1840,16.1,17.35,36090,9.0,8.42,9.71,13.58,20.35,30.14,17510,20190,28250,42340,62690,2006
10692,CA,33700,"Modesto, CA",29-0000,Healthcare practitioners and technical occupations,major,8010,5.9,34.01,70730,2.2,15.19,21.41,31.42,42.73,55.74,31590,44520,65360,88870,115940,2006
10722,CA,33700,"Modesto, CA",31-0000,Healthcare support occupations,major,4670,4.6,12.37,25730,2.5,8.12,9.42,11.40,14.11,18.13,16880,19590,23700,29340,37700,2006
10734,CA,33700,"Modesto, CA",33-0000,Protective service occupations,major,2360,4.9,17.41,36220,8.9,7.53,8.60,15.69,24.13,31.11,15670,17880,32630,50200,64700,2006
10740,CA,33700,"Modesto, CA",35-0000,Food preparation and serving related occupations,major,14550,3.0,8.82,18350,1.0,7.10,7.40,8.09,9.09,12.01,14770,15380,16830,18900,24970,2006
10757,CA,33700,"Modesto, CA",37-0000,Building and grounds cleaning and maintenance occupations,major,5230,6.6,11.59,24110,2.2,7.50,8.37,10.19,13.70,18.23,15590,17410,21190,28500,37910,2006
10764,CA,33700,"Modesto, CA",39-0000,Personal care and service occupations,major,2650,7.4,10.19,21180,2.4,7.24,7.76,8.78,10.97,15.10,15060,16130,18260,22830,31410,2006
10776,CA,33700,"Modesto, CA",41-0000,Sales and related occupations,major,18080,3.5,14.58,30320,2.4,7.41,8.24,10.66,17.42,26.53,15410,17140,22170,36230,55180,2006
10794,CA,33700,"Modesto, CA",43-0000,Office and administrative support occupations,major,26920,2.7,14.34,29820,0.8,8.27,10.11,13.49,17.52,21.91,17190,21030,28060,36440,45580,2006
10835,CA,33700,"Modesto, CA",45-0000,"Farming, fishing, and forestry occupations",major,5640,3.4,8.74,18190,1.8,7.08,7.35,7.95,8.70,11.41,14730,15290,16540,18110,23730,2006
10843,CA,33700,"Modesto, CA",47-0000,Construction and extraction occupations,major,11600,4.0,20.78,43210,2.2,10.66,14.29,20.73,26.38,31.02,22170,29730,43110,54860,64520,2006
10871,CA,33700,"Modesto, CA",49-0000,"Installation, maintenance, and repair occupations",major,6690,5.3,19.33,40210,2.3,10.58,13.91,18.57,24.23,28.85,22000,28930,38620,50390,60000,2006
10897,CA,33700,"Modesto, CA",51-0000,Production occupations,major,14370,4.3,14.42,29990,2.1,7.91,9.31,13.13,18.54,22.27,16450,19360,27310,38570,46320,2006
10944,CA,33700,"Modesto, CA",53-0000,Transportation and material moving occupations,major,14070,5.8,13.74,28580,1.7,7.67,9.12,12.74,17.28,21.48,15950,18960,26490,35950,44680,2006
10964,CA,34900,"Napa, CA",11-0000,Management occupations,major,3400,5.2,47.78,99380,2.2,20.83,31.72,43.00,60.68,#,43340,65980,89450,126200,#,2006
10986,CA,34900,"Napa, CA",13-0000,Business and financial operations occupations,major,1880,7.0,30.24,62900,4.8,14.52,20.70,27.74,37.03,45.83,30200,43050,57700,77020,95330,2006
10999,CA,34900,"Napa, CA",15-0000,Computer and mathematical occupations,major,470,10.3,30.69,63840,2.9,16.03,23.20,29.50,38.32,46.80,33350,48260,61370,79710,97340,2006
11005,CA,34900,"Napa, CA",17-0000,Architecture and engineering occupations,major,**,**,29.57,61510,3.8,12.71,21.92,29.28,37.10,45.07,26440,45590,60910,77160,93750,2006
11010,CA,34900,"Napa, CA",19-0000,"Life, physical, and social science occupations",major,780,7.1,31.83,66200,4.1,15.63,20.05,27.26,38.65,57.92,32500,41700,56700,80380,120470,2006
11017,CA,34900,"Napa, CA",21-0000,Community and social services occupations,major,570,9.8,21.74,45220,3.9,11.82,14.94,20.71,27.84,33.11,24580,31080,43070,57900,68860,2006
11024,CA,34900,"Napa, CA",23-0000,Legal occupations,major,180,29.8,42.56,88530,10.3,19.90,24.47,32.22,57.32,#,41380,50900,67020,119230,#,2006
11027,CA,34900,"Napa, CA",25-0000,"Education, training, and library occupations",major,3670,18.1,23.78,49450,3.2,10.31,15.04,22.30,30.40,38.13,21440,31290,46370,63220,79310,2006
11039,CA,34900,"Napa, CA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,610,13.2,20.91,43500,5.5,11.83,13.93,17.68,23.07,31.59,24610,28970,36780,47980,65710,2006
11044,CA,34900,"Napa, CA",29-0000,Healthcare practitioners and technical occupations,major,4130,4.1,31.15,64800,4.7,15.48,19.64,30.67,37.81,49.45,32200,40850,63790,78640,102850,2006
11058,CA,34900,"Napa, CA",31-0000,Healthcare support occupations,major,1350,10.0,14.04,29210,3.0,9.08,10.97,14.10,16.76,19.02,18890,22820,29330,34850,39560,2006
11066,CA,34900,"Napa, CA",33-0000,Protective service occupations,major,970,7.9,20.67,42990,12.5,9.91,11.52,14.87,29.39,39.75,20620,23950,30930,61130,82680,2006
11072,CA,34900,"Napa, CA",35-0000,Food preparation and serving related occupations,major,5920,8.1,10.46,21770,2.7,7.15,7.62,8.87,11.48,15.76,14870,15850,18450,23880,32780,2006
11089,CA,34900,"Napa, CA",37-0000,Building and grounds cleaning and maintenance occupations,major,2870,6.3,12.87,26780,2.5,8.23,9.69,11.73,15.47,18.61,17120,20160,24390,32180,38700,2006
11095,CA,34900,"Napa, CA",39-0000,Personal care and service occupations,major,1040,9.1,11.43,23770,2.6,7.53,8.34,10.09,12.93,17.56,15660,17360,20980,26900,36520,2006
11105,CA,34900,"Napa, CA",41-0000,Sales and related occupations,major,6570,5.4,18.76,39020,4.0,8.13,9.59,13.85,21.78,39.05,16910,19940,28800,45310,81230,2006
11120,CA,34900,"Napa, CA",43-0000,Office and administrative support occupations,major,10660,4.8,16.97,35310,1.5,9.93,12.61,16.16,20.47,24.95,20650,26220,33620,42590,51900,2006
11154,CA,34900,"Napa, CA",45-0000,"Farming, fishing, and forestry occupations",major,3390,9.6,11.97,24890,2.8,8.36,9.58,10.95,13.34,17.13,17380,19920,22780,27760,35620,2006
11159,CA,34900,"Napa, CA",47-0000,Construction and extraction occupations,major,4580,5.7,22.57,46950,3.2,12.93,16.62,21.86,27.61,34.08,26900,34580,45470,57420,70900,2006
11172,CA,34900,"Napa, CA",49-0000,"Installation, maintenance, and repair occupations",major,2140,11.9,22.80,47430,2.7,12.87,16.97,22.67,28.30,33.91,26770,35300,47150,58860,70530,2006
11184,CA,34900,"Napa, CA",51-0000,Production occupations,major,4790,11.0,*,*,*,*,*,*,*,*,*,*,*,*,*,2006
11209,CA,34900,"Napa, CA",53-0000,Transportation and material moving occupations,major,2820,11.0,14.61,30380,2.4,7.95,9.43,12.97,18.33,23.54,16530,19610,26970,38130,48960,2006
11224,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",11-0000,Management occupations,major,60620,2.2,52.12,108410,0.8,23.32,33.86,48.12,66.33,#,48510,70430,100090,137960,#,2006
11256,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",13-0000,Business and financial operations occupations,major,55550,3.1,33.05,68750,1.4,18.48,23.80,30.88,39.61,50.21,38430,49500,64230,82380,104430,2006
11287,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",15-0000,Computer and mathematical occupations,major,33930,4.0,37.82,78670,1.2,22.13,28.14,37.34,46.54,56.32,46030,58530,77670,96800,117140,2006
11302,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",17-0000,Architecture and engineering occupations,major,26210,5.2,37.67,78350,1.5,21.57,28.08,36.76,46.08,55.71,44860,58400,76450,95850,115880,2006
11333,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",19-0000,"Life, physical, and social science occupations",major,14840,6.0,34.20,71130,3.1,17.14,22.84,31.78,42.51,55.34,35650,47500,66100,88420,115120,2006
11365,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",21-0000,Community and social services occupations,major,13110,5.2,24.01,49950,3.0,12.26,16.55,22.91,30.66,37.50,25500,34420,47660,63780,77990,2006
11382,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",23-0000,Legal occupations,major,6530,5.7,47.16,98100,4.4,20.21,25.94,40.29,63.23,#,42040,53960,83810,131530,#,2006
11389,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",25-0000,"Education, training, and library occupations",major,67970,5.9,25.94,53950,3.0,12.38,17.09,23.68,31.62,42.25,25750,35540,49250,65760,87880,2006
11437,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",27-0000,"Arts, design, entertainment, sports, and media occupations",major,13660,8.0,25.15,52300,4.4,8.94,14.30,22.25,32.41,44.38,18600,29740,46280,67410,92300,2006
11470,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",29-0000,Healthcare practitioners and technical occupations,major,43690,3.7,40.04,83280,2.0,18.20,26.73,38.57,50.25,61.82,37860,55600,80230,104510,128580,2006
11512,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",31-0000,Healthcare support occupations,major,21320,4.6,15.13,31480,1.9,9.63,11.48,13.89,18.79,22.46,20030,23880,28900,39090,46730,2006
11528,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",33-0000,Protective service occupations,major,20140,3.6,23.98,49890,6.2,9.44,11.09,20.05,35.72,45.29,19640,23060,41710,74290,94200,2006
11543,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",35-0000,Food preparation and serving related occupations,major,72220,1.6,9.72,20220,0.9,7.20,7.63,8.54,10.72,14.14,14980,15880,17760,22290,29400,2006
11561,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",37-0000,Building and grounds cleaning and maintenance occupations,major,30760,3.0,13.55,28180,1.6,7.98,9.40,11.74,16.74,21.71,16590,19550,24410,34830,45150,2006
11571,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",39-0000,Personal care and service occupations,major,20750,6.1,13.68,28450,5.5,7.59,8.63,11.14,15.08,25.39,15780,17960,23170,31380,52820,2006
11598,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",41-0000,Sales and related occupations,major,109330,1.9,19.65,40870,2.0,7.93,9.28,14.09,23.76,39.24,16490,19300,29310,49430,81620,2006
11619,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",43-0000,Office and administrative support occupations,major,182300,1.4,17.91,37250,0.8,9.89,12.90,17.21,22.01,26.91,20580,26840,35800,45790,55970,2006
11671,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",45-0000,"Farming, fishing, and forestry occupations",major,750,24.6,12.50,26000,5.0,7.61,8.48,10.91,13.63,20.99,15830,17640,22700,28340,43670,2006
11676,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",47-0000,Construction and extraction occupations,major,65720,2.7,25.31,52640,1.3,12.69,17.74,24.83,32.09,38.90,26400,36900,51640,66750,80900,2006
11718,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",49-0000,"Installation, maintenance, and repair occupations",major,37220,4.1,23.40,48670,1.2,11.76,16.38,23.11,29.66,35.29,24460,34060,48060,61700,73400,2006
11750,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",51-0000,Production occupations,major,63490,5.6,16.65,34640,1.3,8.57,10.61,14.72,21.01,27.93,17820,22060,30620,43690,58100,2006
11841,CA,36084,"Oakland-Fremont-Hayward, CA Metropolitan Division",53-0000,Transportation and material moving occupations,major,65080,2.9,16.89,35140,4.2,8.04,9.96,14.43,20.25,27.56,16730,20720,30000,42130,57330,2006
11873,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",11-0000,Management occupations,major,16050,2.5,50.46,104960,3.0,21.92,31.58,45.26,64.20,#,45590,65690,94130,133530,#,2006
11902,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",13-0000,Business and financial operations occupations,major,15570,4.9,34.04,70800,4.7,16.84,21.55,29.29,40.59,55.86,35020,44830,60910,84430,116200,2006
11928,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",15-0000,Computer and mathematical occupations,major,7220,6.1,34.21,71160,2.4,18.50,24.91,33.69,43.17,52.02,38480,51800,70080,89790,108200,2006
11942,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",17-0000,Architecture and engineering occupations,major,8170,5.2,36.04,74970,4.5,18.99,26.37,35.47,45.51,55.63,39500,54850,73770,94660,115710,2006
11970,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",19-0000,"Life, physical, and social science occupations",major,5070,5.5,35.50,73830,6.8,16.15,22.74,31.80,43.84,58.66,33590,47300,66150,91190,122020,2006
11986,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",21-0000,Community and social services occupations,major,2910,5.8,22.19,46160,3.4,11.61,14.80,20.28,28.29,36.26,24150,30790,42180,58840,75420,2006
11996,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",23-0000,Legal occupations,major,1730,6.1,43.21,89870,7.8,16.20,21.46,32.19,59.35,#,33700,44630,66960,123460,#,2006
12001,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",25-0000,"Education, training, and library occupations",major,17700,4.3,24.30,50550,2.7,11.03,15.13,22.79,31.63,38.85,22950,31470,47400,65780,80800,2006
12020,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,3410,6.0,26.26,54610,6.0,10.16,13.60,20.07,33.40,49.20,21140,28290,41750,69470,102330,2006
12040,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",29-0000,Healthcare practitioners and technical occupations,major,10970,6.4,32.18,66930,2.8,16.01,22.15,28.86,37.26,51.14,33290,46080,60020,77500,106380,2006
12069,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",31-0000,Healthcare support occupations,major,6730,6.2,13.05,27150,2.0,8.57,10.15,12.43,15.38,18.14,17820,21110,25850,32000,37740,2006
12083,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",33-0000,Protective service occupations,major,4860,4.6,20.27,42160,8.5,8.26,9.99,17.07,29.65,36.70,17180,20780,35500,61680,76330,2006
12091,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",35-0000,Food preparation and serving related occupations,major,24350,2.7,8.97,18650,0.8,7.13,7.45,8.23,9.50,12.24,14830,15500,17130,19770,25450,2006
12108,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",37-0000,Building and grounds cleaning and maintenance occupations,major,9870,4.3,12.33,25650,2.0,7.50,8.42,10.69,15.38,19.66,15600,17510,22230,32000,40880,2006
12118,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",39-0000,Personal care and service occupations,major,6340,6.8,11.91,24770,2.3,7.41,8.20,10.06,13.87,19.75,15400,17050,20930,28840,41080,2006
12131,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",41-0000,Sales and related occupations,major,34050,2.5,16.98,35310,2.6,7.67,8.59,11.45,20.54,32.69,15960,17860,23820,42730,68000,2006
12150,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",43-0000,Office and administrative support occupations,major,53860,2.2,15.69,32630,1.0,8.88,11.14,14.62,19.26,23.92,18470,23180,30420,40060,49750,2006
12200,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",45-0000,"Farming, fishing, and forestry occupations",major,6080,5.0,9.23,19190,1.7,7.16,7.53,8.42,10.01,12.81,14890,15660,17510,20820,26650,2006
12205,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",47-0000,Construction and extraction occupations,major,18320,4.5,20.71,43070,1.9,10.60,13.61,19.40,27.03,33.30,22040,28320,40350,56230,69270,2006
12233,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",49-0000,"Installation, maintenance, and repair occupations",major,9820,4.6,20.51,42660,1.8,10.35,13.91,19.28,25.59,32.18,21540,28930,40090,53220,66930,2006
12261,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",51-0000,Production occupations,major,23740,3.7,13.65,28400,1.5,7.74,8.81,11.48,16.71,22.89,16100,18320,23880,34760,47610,2006
12316,CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",53-0000,Transportation and material moving occupations,major,17810,4.8,13.32,27700,2.5,7.55,8.43,10.96,15.84,22.21,15700,17540,22790,32960,46200,2006
12339,CA,39820,"Redding, CA",11-0000,Management occupations,major,2680,6.4,38.63,80350,2.7,17.25,23.22,33.62,46.34,69.09,35890,48310,69940,96390,143710,2006
12360,CA,39820,"Redding, CA",13-0000,Business and financial operations occupations,major,2880,7.5,26.05,54180,3.2,14.87,18.67,24.66,30.59,38.64,30930,38840,51290,63620,80360,2006
12375,CA,39820,"Redding, CA",15-0000,Computer and mathematical occupations,major,730,19.4,27.74,57700,4.0,15.48,18.85,26.19,33.40,42.63,32200,39200,54470,69480,88670,2006
12383,CA,39820,"Redding, CA",17-0000,Architecture and engineering occupations,major,750,16.2,30.44,63320,5.6,15.20,20.67,27.61,37.20,45.74,31630,42990,57430,77370,95140,2006
12393,CA,39820,"Redding, CA",19-0000,"Life, physical, and social science occupations",major,820,5.1,24.08,50080,7.5,12.51,14.84,22.05,31.74,38.61,26010,30860,45860,66020,80300,2006
12400,CA,39820,"Redding, CA",21-0000,Community and social services occupations,major,1130,4.1,19.21,39950,3.0,11.16,13.33,16.97,22.89,29.25,23200,27730,35290,47620,60830,2006
12405,CA,39820,"Redding, CA",23-0000,Legal occupations,major,270,18.6,32.78,68180,6.9,14.52,19.09,30.69,43.62,55.50,30200,39710,63830,90740,115440,2006
12407,CA,39820,"Redding, CA",25-0000,"Education, training, and library occupations",major,4120,8.2,23.17,48200,9.1,9.12,12.21,20.64,30.57,43.78,18970,25390,42940,63580,91060,2006
12420,CA,39820,"Redding, CA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,540,8.9,18.94,39390,5.1,8.95,11.27,15.85,22.09,31.35,18610,23430,32960,45950,65210,2006
12427,CA,39820,"Redding, CA",29-0000,Healthcare practitioners and technical occupations,major,3720,18.5,32.58,67770,4.1,14.64,20.37,28.78,36.92,56.20,30460,42360,59870,76790,116900,2006
12448,CA,39820,"Redding, CA",31-0000,Healthcare support occupations,major,2460,8.7,12.37,25720,2.0,8.22,9.80,12.03,14.20,17.03,17090,20390,25020,29540,35430,2006
12458,CA,39820,"Redding, CA",33-0000,Protective service occupations,major,1450,17.0,20.33,42290,7.4,9.46,12.97,17.25,27.22,35.20,19670,26990,35870,56610,73220,2006
12465,CA,39820,"Redding, CA",35-0000,Food preparation and serving related occupations,major,6930,3.8,8.76,18220,1.5,7.12,7.42,8.13,9.13,11.32,14800,15430,16910,18990,23540,2006
12480,CA,39820,"Redding, CA",37-0000,Building and grounds cleaning and maintenance occupations,major,2460,9.3,11.75,24430,4.1,7.55,8.24,9.91,14.00,18.81,15710,17130,20600,29120,39130,2006
12486,CA,39820,"Redding, CA",39-0000,Personal care and service occupations,major,1790,12.6,10.87,22600,3.3,7.26,7.87,9.22,12.15,17.94,15090,16360,19180,25260,37310,2006
12494,CA,39820,"Redding, CA",41-0000,Sales and related occupations,major,7610,3.6,13.87,28850,3.1,7.51,8.35,10.45,16.16,22.92,15630,17380,21730,33610,47670,2006
12509,CA,39820,"Redding, CA",43-0000,Office and administrative support occupations,major,12060,3.1,13.89,28900,1.3,8.46,10.13,12.90,16.83,21.12,17600,21070,26830,35000,43930,2006
12547,CA,39820,"Redding, CA",45-0000,"Farming, fishing, and forestry occupations",major,480,18.4,17.07,35500,7.5,9.19,11.55,15.99,20.47,25.70,19110,24030,33250,42590,53450,2006
12552,CA,39820,"Redding, CA",47-0000,Construction and extraction occupations,major,4360,5.6,20.11,41840,2.3,11.62,14.51,19.71,24.73,29.51,24170,30170,40990,51430,61390,2006
12570,CA,39820,"Redding, CA",49-0000,"Installation, maintenance, and repair occupations",major,2860,6.8,18.31,38090,2.6,9.74,12.33,17.44,22.83,28.67,20270,25650,36280,47490,59630,2006
12587,CA,39820,"Redding, CA",51-0000,Production occupations,major,2200,10.9,15.70,32650,2.8,8.44,10.55,14.18,18.71,24.92,17550,21950,29500,38910,51830,2006
12608,CA,39820,"Redding, CA",53-0000,Transportation and material moving occupations,major,4590,13.9,14.68,30530,3.5,8.08,9.86,12.85,18.17,23.50,16810,20510,26720,37800,48870,2006
12623,CA,40140,"Riverside-San Bernardino-Ontario, CA",11-0000,Management occupations,major,48870,1.9,43.66,90810,0.9,18.36,26.81,38.91,54.32,#,38190,55770,80940,112990,#,2006
12656,CA,40140,"Riverside-San Bernardino-Ontario, CA",13-0000,Business and financial operations occupations,major,40980,3.8,28.46,59190,1.4,15.45,19.55,25.96,34.29,43.65,32130,40670,53990,71330,90790,2006
12686,CA,40140,"Riverside-San Bernardino-Ontario, CA",15-0000,Computer and mathematical occupations,major,12140,6.4,30.25,62930,1.8,16.36,21.55,28.57,37.50,46.80,34020,44830,59420,77990,97340,2006
12698,CA,40140,"Riverside-San Bernardino-Ontario, CA",17-0000,Architecture and engineering occupations,major,13340,6.0,29.98,62360,1.7,16.36,21.56,29.03,37.65,45.42,34030,44850,60380,78320,94460,2006
12728,CA,40140,"Riverside-San Bernardino-Ontario, CA",19-0000,"Life, physical, and social science occupations",major,7500,6.9,29.12,60570,2.6,14.79,19.41,26.55,35.65,47.08,30760,40370,55220,74150,97920,2006
12758,CA,40140,"Riverside-San Bernardino-Ontario, CA",21-0000,Community and social services occupations,major,16510,13.9,21.62,44970,1.7,10.93,13.94,19.74,27.90,36.01,22740,28990,41050,58030,74910,2006
12773,CA,40140,"Riverside-San Bernardino-Ontario, CA",23-0000,Legal occupations,major,**,**,38.17,79400,4.9,17.78,22.08,31.34,51.37,#,36970,45930,65180,106850,#,2006
12780,CA,40140,"Riverside-San Bernardino-Ontario, CA",25-0000,"Education, training, and library occupations",major,89590,1.8,24.12,50170,1.6,11.00,15.52,23.43,31.36,38.23,22870,32280,48740,65230,79510,2006
12834,CA,40140,"Riverside-San Bernardino-Ontario, CA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,9190,6.4,19.69,40940,2.8,9.40,11.68,16.91,24.48,34.02,19560,24290,35180,50910,70750,2006
12868,CA,40140,"Riverside-San Bernardino-Ontario, CA",29-0000,Healthcare practitioners and technical occupations,major,53230,5.6,33.32,69300,2.7,15.11,20.28,29.49,38.28,56.17,31440,42180,61330,79620,116830,2006
12915,CA,40140,"Riverside-San Bernardino-Ontario, CA",31-0000,Healthcare support occupations,major,29050,3.7,12.76,26540,1.8,8.17,9.54,11.61,14.55,18.62,17000,19840,24150,30270,38720,2006
12930,CA,40140,"Riverside-San Bernardino-Ontario, CA",33-0000,Protective service occupations,major,29000,3.7,20.42,42480,7.9,8.12,9.75,17.47,30.82,37.22,16880,20280,36340,64100,77420,2006
12947,CA,40140,"Riverside-San Bernardino-Ontario, CA",35-0000,Food preparation and serving related occupations,major,113090,1.7,9.03,18780,0.9,7.10,7.40,8.15,9.39,12.28,14760,15400,16960,19530,25550,2006
12965,CA,40140,"Riverside-San Bernardino-Ontario, CA",37-0000,Building and grounds cleaning and maintenance occupations,major,42130,2.2,11.58,24090,1.5,7.48,8.25,9.92,13.68,18.21,15550,17160,20630,28460,37870,2006
12975,CA,40140,"Riverside-San Bernardino-Ontario, CA",39-0000,Personal care and service occupations,major,26080,6.2,10.56,21960,1.5,7.28,7.87,8.94,11.28,15.81,15140,16360,18590,23460,32880,2006
13004,CA,40140,"Riverside-San Bernardino-Ontario, CA",41-0000,Sales and related occupations,major,132400,1.5,15.67,32590,1.5,7.55,8.46,11.11,18.66,29.61,15710,17600,23110,38810,61590,2006
13026,CA,40140,"Riverside-San Bernardino-Ontario, CA",43-0000,Office and administrative support occupations,major,207540,1.6,14.77,30720,0.6,8.47,10.41,13.69,18.10,22.63,17620,21640,28470,37650,47080,2006
13078,CA,40140,"Riverside-San Bernardino-Ontario, CA",45-0000,"Farming, fishing, and forestry occupations",major,6850,4.9,9.33,19410,2.5,7.22,7.57,8.29,9.23,13.09,15020,15740,17230,19210,27230,2006
13086,CA,40140,"Riverside-San Bernardino-Ontario, CA",47-0000,Construction and extraction occupations,major,114420,2.1,19.84,41280,1.1,10.66,13.68,18.84,24.81,30.67,22180,28450,39190,51610,63780,2006
13128,CA,40140,"Riverside-San Bernardino-Ontario, CA",49-0000,"Installation, maintenance, and repair occupations",major,53470,3.5,19.30,40130,1.0,9.85,13.25,18.53,24.46,29.42,20490,27550,38540,50880,61200,2006
13167,CA,40140,"Riverside-San Bernardino-Ontario, CA",51-0000,Production occupations,major,95710,2.1,13.23,27520,0.8,7.77,8.86,11.49,15.73,21.42,16160,18430,23900,32720,44550,2006
13254,CA,40140,"Riverside-San Bernardino-Ontario, CA",53-0000,Transportation and material moving occupations,major,122410,2.4,13.63,28350,1.5,7.57,8.54,11.61,17.31,22.34,15740,17770,24140,36000,46460,2006
13287,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",11-0000,Management occupations,major,44190,1.7,45.74,95130,1.0,20.04,29.37,42.01,56.28,#,41690,61090,87380,117070,#,2006
13319,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",13-0000,Business and financial operations occupations,major,63630,2.8,28.36,58990,2.6,15.67,20.19,26.25,32.76,42.42,32580,41990,54610,68140,88240,2006
13348,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",15-0000,Computer and mathematical occupations,major,26090,2.8,32.78,68180,2.0,19.66,25.38,32.10,38.90,47.91,40880,52780,66770,80910,99660,2006
13362,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",17-0000,Architecture and engineering occupations,major,20760,3.7,34.67,72110,2.0,19.14,25.17,33.85,42.51,50.20,39810,52350,70420,88430,104420,2006
13388,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",19-0000,"Life, physical, and social science occupations",major,10730,5.3,29.45,61250,2.3,14.52,21.13,29.65,36.90,44.58,30200,43940,61670,76740,92730,2006
13423,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",21-0000,Community and social services occupations,major,13720,5.2,22.42,46630,4.5,11.54,15.56,21.04,27.62,36.53,24010,32360,43750,57450,75990,2006
13438,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",23-0000,Legal occupations,major,8000,4.1,40.54,84320,3.6,16.90,24.60,39.74,51.56,66.70,35150,51170,82660,107250,138730,2006
13446,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",25-0000,"Education, training, and library occupations",major,59140,4.2,23.50,48890,3.4,9.70,13.93,21.71,30.15,38.61,20170,28960,45170,62720,80310,2006
13483,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,11470,6.7,21.30,44300,2.9,9.61,12.91,19.15,27.19,35.33,19990,26850,39820,56550,73480,2006
13515,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",29-0000,Healthcare practitioners and technical occupations,major,35290,5.0,34.77,72330,1.9,16.57,22.97,32.76,43.34,55.68,34470,47770,68140,90150,115810,2006
13557,CA,40900,"Sacramento--Arden-Arcade--Roseville, CA",31-0000,Healthcare support occupations,major,19170,4.0,13.79,28680,2.1,8.60,10.36,13.09,16.54,20.29,17880,21550,27220,34400,42200,2006
