,state,year,month,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,state_abbr,fips_state,state_name,state_proper
220,Idaho,2020,12,61.92064516129031,55.27774193548389,59.023870967741914,29.032258064516128,ID,16,IDAHO,Idaho
221,Idaho,2021,1,59.40999999999999,56.398709677419376,57.31322580645164,50.0,ID,16,IDAHO,Idaho
222,Idaho,2021,2,51.29035714285714,50.56642857142857,50.6446428571429,50.0,ID,16,IDAHO,Idaho
223,Idaho,2021,3,50.0,49.510967741935474,49.55870967741935,49.193548387096776,ID,16,IDAHO,Idaho
224,Idaho,2021,4,46.423333333333304,49.08800000000001,50.74333333333332,37.5,ID,16,IDAHO,Idaho
225,Idaho,2021,5,40.65032258064519,47.57774193548384,50.226129032258086,37.5,ID,16,IDAHO,Idaho
226,Idaho,2021,6,37.960000000000015,47.65933333333338,48.21000000000002,45.089285714285715,ID,16,IDAHO,Idaho
227,Idaho,2021,7,37.96000000000001,47.31789473684211,48.24157894736843,40.78947368421053,ID,16,IDAHO,Idaho
228,Illinois,2020,1,0.7174193548387098,2.352258064516129,2.573225806451613,0.8064516129032258,IL,17,ILLINOIS,Illinois
229,Illinois,2020,2,4.793103448275863,7.899655172413797,9.028965517241385,0.0,IL,17,ILLINOIS,Illinois
230,Illinois,2020,3,46.11838709677419,36.759677419354844,37.058064516129015,34.67741935483871,IL,17,ILLINOIS,Illinois
231,Illinois,2020,4,82.41,65.99300000000004,62.920999999999964,87.5,IL,17,ILLINOIS,Illinois
232,Illinois,2020,5,81.69290322580645,69.31935483870966,66.72258064516127,87.5,IL,17,ILLINOIS,Illinois
233,Illinois,2020,6,70.40333333333336,63.035666666666664,59.543999999999976,87.5,IL,17,ILLINOIS,Illinois
234,Illinois,2020,7,57.883225806451584,56.90387096774193,53.34387096774195,81.85483870967742,IL,17,ILLINOIS,Illinois
235,Illinois,2020,8,56.86677419354836,51.25806451612904,53.22612903225803,37.5,IL,17,ILLINOIS,Illinois
236,Illinois,2020,9,55.08999999999999,50.26,52.07999999999999,37.5,IL,17,ILLINOIS,Illinois
237,Illinois,2020,10,54.330967741935495,52.1722580645161,54.27096774193547,37.5,IL,17,ILLINOIS,Illinois
238,Illinois,2020,11,58.13299999999995,54.72833333333332,56.7176666666667,40.833333333333336,IL,17,ILLINOIS,Illinois
239,Illinois,2020,12,61.10999999999996,59.1364516129032,58.662580645161306,62.5,IL,17,ILLINOIS,Illinois
240,Illinois,2021,1,58.484193548387125,59.40419354838705,58.96419354838709,62.5,IL,17,ILLINOIS,Illinois
241,Illinois,2021,2,54.92785714285718,61.58678571428569,61.45964285714283,62.5,IL,17,ILLINOIS,Illinois
242,Illinois,2021,3,54.18161290322582,61.92064516129031,61.840967741935465,62.5,IL,17,ILLINOIS,Illinois
243,Illinois,2021,4,51.35666666666667,61.79433333333332,61.69400000000003,62.5,IL,17,ILLINOIS,Illinois
244,Illinois,2021,5,50.0,61.03225806451617,60.81677419354838,62.5,IL,17,ILLINOIS,Illinois
245,Illinois,2021,6,39.99800000000001,50.940000000000026,49.282000000000004,62.5,IL,17,ILLINOIS,Illinois
246,Illinois,2021,7,34.26,46.88,44.63999999999999,62.5,IL,17,ILLINOIS,Illinois
247,Indiana,2020,1,0.0,1.9493548387096777,2.1112903225806456,0.8064516129032258,IN,18,INDIANA,Indiana
248,Indiana,2020,2,4.793103448275863,7.899655172413798,9.027586206896556,0.0,IN,18,INDIANA,Indiana
249,Indiana,2020,3,44.29419354838709,35.18032258064516,35.88677419354839,30.241935483870968,IN,18,INDIANA,Indiana
250,Indiana,2020,4,74.35433333333332,61.66800000000003,57.97433333333335,87.5,IN,18,INDIANA,Indiana
251,Indiana,2020,5,66.90580645161288,60.92322580645162,57.124193548387105,87.5,IN,18,INDIANA,Indiana
252,Indiana,2020,6,58.36766666666664,58.9403333333333,54.86233333333337,87.5,IN,18,INDIANA,Indiana
253,Indiana,2020,7,52.062903225806444,56.769999999999996,52.49709677419355,86.69354838709677,IN,18,INDIANA,Indiana
254,Indiana,2020,8,49.04516129032257,54.67064516129031,53.555806451612895,62.5,IN,18,INDIANA,Indiana
255,Indiana,2020,9,45.18799999999999,49.37399999999998,51.07399999999999,37.5,IN,18,INDIANA,Indiana
256,Indiana,2020,10,40.74,46.49258064516127,47.77935483870967,37.5,IN,18,INDIANA,Indiana
257,Indiana,2020,11,44.446666666666694,47.204666666666675,48.58933333333336,37.5,IN,18,INDIANA,Indiana
258,Indiana,2020,12,54.09193548387101,54.26967741935481,56.666451612903245,37.5,IN,18,INDIANA,Indiana
