,year,month,state,covid_19_deaths,state_abbr,fips_state,state_name,state_proper
133,2021,1,Hawaii,47,HI,15,HAWAII,Hawaii
134,2020,2,Hawaii,0,HI,15,HAWAII,Hawaii
135,2021,2,Hawaii,27,HI,15,HAWAII,Hawaii
136,2020,3,Hawaii,0,HI,15,HAWAII,Hawaii
137,2021,3,Hawaii,18,HI,15,HAWAII,Hawaii
138,2020,4,Hawaii,16,HI,15,HAWAII,Hawaii
139,2021,4,Hawaii,14,HI,15,HAWAII,Hawaii
140,2020,5,Hawaii,0,HI,15,HAWAII,Hawaii
141,2021,5,Hawaii,19,HI,15,HAWAII,Hawaii
142,2020,6,Hawaii,0,HI,15,HAWAII,Hawaii
143,2021,6,Hawaii,10,HI,15,HAWAII,Hawaii
144,2020,1,Idaho,0,ID,16,IDAHO,Idaho
145,2021,1,Idaho,262,ID,16,IDAHO,Idaho
146,2020,2,Idaho,0,ID,16,IDAHO,Idaho
147,2021,2,Idaho,110,ID,16,IDAHO,Idaho
148,2020,3,Idaho,10,ID,16,IDAHO,Idaho
149,2021,3,Idaho,77,ID,16,IDAHO,Idaho
150,2020,4,Idaho,55,ID,16,IDAHO,Idaho
151,2021,4,Idaho,83,ID,16,IDAHO,Idaho
152,2020,5,Idaho,22,ID,16,IDAHO,Idaho
153,2021,5,Idaho,68,ID,16,IDAHO,Idaho
154,2020,6,Idaho,11,ID,16,IDAHO,Idaho
155,2021,6,Idaho,49,ID,16,IDAHO,Idaho
156,2020,1,Illinois,0,IL,17,ILLINOIS,Illinois
157,2021,1,Illinois,2397,IL,17,ILLINOIS,Illinois
158,2020,2,Illinois,0,IL,17,ILLINOIS,Illinois
159,2021,2,Illinois,1065,IL,17,ILLINOIS,Illinois
160,2020,3,Illinois,193,IL,17,ILLINOIS,Illinois
161,2021,3,Illinois,546,IL,17,ILLINOIS,Illinois
162,2020,4,Illinois,2449,IL,17,ILLINOIS,Illinois
163,2021,4,Illinois,723,IL,17,ILLINOIS,Illinois
164,2020,5,Illinois,2822,IL,17,ILLINOIS,Illinois
165,2021,5,Illinois,754,IL,17,ILLINOIS,Illinois
166,2020,6,Illinois,1162,IL,17,ILLINOIS,Illinois
167,2021,6,Illinois,319,IL,17,ILLINOIS,Illinois
168,2020,1,Indiana,0,IN,18,INDIANA,Indiana
169,2021,1,Indiana,2046,IN,18,INDIANA,Indiana
170,2020,2,Indiana,0,IN,18,INDIANA,Indiana
171,2021,2,Indiana,744,IN,18,INDIANA,Indiana
172,2020,3,Indiana,126,IN,18,INDIANA,Indiana
173,2021,3,Indiana,321,IN,18,INDIANA,Indiana
174,2020,4,Indiana,1143,IN,18,INDIANA,Indiana
175,2021,4,Indiana,289,IN,18,INDIANA,Indiana
176,2020,5,Indiana,960,IN,18,INDIANA,Indiana
177,2021,5,Indiana,349,IN,18,INDIANA,Indiana
178,2020,6,Indiana,471,IN,18,INDIANA,Indiana
179,2021,6,Indiana,179,IN,18,INDIANA,Indiana
180,2020,1,Iowa,0,IA,19,IOWA,Iowa
181,2021,1,Iowa,706,IA,19,IOWA,Iowa
182,2020,2,Iowa,0,IA,19,IOWA,Iowa
183,2021,2,Iowa,272,IA,19,IOWA,Iowa
184,2020,3,Iowa,10,IA,19,IOWA,Iowa
185,2021,3,Iowa,156,IA,19,IOWA,Iowa
186,2020,4,Iowa,171,IA,19,IOWA,Iowa
187,2021,4,Iowa,114,IA,19,IOWA,Iowa
188,2020,5,Iowa,416,IA,19,IOWA,Iowa
189,2021,5,Iowa,99,IA,19,IOWA,Iowa
190,2020,6,Iowa,159,IA,19,IOWA,Iowa
191,2021,6,Iowa,44,IA,19,IOWA,Iowa
192,2020,1,Kansas,0,KS,20,KANSAS,Kansas
193,2021,1,Kansas,914,KS,20,KANSAS,Kansas
194,2020,2,Kansas,0,KS,20,KANSAS,Kansas
195,2021,2,Kansas,281,KS,20,KANSAS,Kansas
196,2020,3,Kansas,14,KS,20,KANSAS,Kansas
197,2021,3,Kansas,126,KS,20,KANSAS,Kansas
198,2020,4,Kansas,127,KS,20,KANSAS,Kansas
199,2021,4,Kansas,78,KS,20,KANSAS,Kansas
200,2020,5,Kansas,101,KS,20,KANSAS,Kansas
201,2021,5,Kansas,81,KS,20,KANSAS,Kansas
202,2020,6,Kansas,66,KS,20,KANSAS,Kansas
203,2021,6,Kansas,52,KS,20,KANSAS,Kansas
204,2020,1,Kentucky,0,KY,21,KENTUCKY,Kentucky
205,2021,1,Kentucky,1365,KY,21,KENTUCKY,Kentucky
206,2020,2,Kentucky,0,KY,21,KENTUCKY,Kentucky
207,2021,2,Kentucky,743,KY,21,KENTUCKY,Kentucky
208,2020,3,Kentucky,28,KY,21,KENTUCKY,Kentucky
209,2021,3,Kentucky,383,KY,21,KENTUCKY,Kentucky
210,2020,4,Kentucky,246,KY,21,KENTUCKY,Kentucky
211,2021,4,Kentucky,228,KY,21,KENTUCKY,Kentucky
212,2020,5,Kentucky,225,KY,21,KENTUCKY,Kentucky
213,2021,5,Kentucky,222,KY,21,KENTUCKY,Kentucky
214,2020,6,Kentucky,155,KY,21,KENTUCKY,Kentucky
215,2021,6,Kentucky,113,KY,21,KENTUCKY,Kentucky
216,2020,1,Louisiana,0,LA,22,LOUISIANA,Louisiana
217,2021,1,Louisiana,1326,LA,22,LOUISIANA,Louisiana
218,2020,2,Louisiana,0,LA,22,LOUISIANA,Louisiana
219,2021,2,Louisiana,614,LA,22,LOUISIANA,Louisiana
220,2020,3,Louisiana,397,LA,22,LOUISIANA,Louisiana
221,2021,3,Louisiana,328,LA,22,LOUISIANA,Louisiana
222,2020,4,Louisiana,1629,LA,22,LOUISIANA,Louisiana
223,2021,4,Louisiana,175,LA,22,LOUISIANA,Louisiana
224,2020,5,Louisiana,742,LA,22,LOUISIANA,Louisiana
225,2021,5,Louisiana,162,LA,22,LOUISIANA,Louisiana
226,2020,6,Louisiana,361,LA,22,LOUISIANA,Louisiana
227,2021,6,Louisiana,85,LA,22,LOUISIANA,Louisiana
