PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,O_GROUP,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,11500,"Anniston-Oxford-Jacksonville, AL",17-0000,major,,,,,,,,,,,570,430,430,550,560,610
AL,11500,"Anniston-Oxford-Jacksonville, AL",19-0000,major,,,,,,,,,,,140,150,130,120,230,180
AL,11500,"Anniston-Oxford-Jacksonville, AL",21-0000,major,,,,,,,,,,,430,390,460,460,470,490
AL,11500,"Anniston-Oxford-Jacksonville, AL",23-0000,major,,,,,,,,,,,160,120,120,110,130,160
AL,11500,"Anniston-Oxford-Jacksonville, AL",25-0000,major,,,,,,,,,,,2380,2330,2430,2470,2530,2390
AL,11500,"Anniston-Oxford-Jacksonville, AL",27-0000,major,,,,,,,,,,,330,500,490,480,350,350
AL,11500,"Anniston-Oxford-Jacksonville, AL",29-0000,major,,,,,,,,,,,2760,2780,3140,2990,2800,2640
AL,11500,"Anniston-Oxford-Jacksonville, AL",31-0000,major,,,,,,,,,,,1330,910,1260,1290,1470,1300
AL,11500,"Anniston-Oxford-Jacksonville, AL",33-0000,major,,,,,,,,,,,1100,1060,970,950,910,850
AL,11500,"Anniston-Oxford-Jacksonville, AL",35-0000,major,,,,,,,,,,,4240,4360,4540,4880,4920,4250
AL,11500,"Anniston-Oxford-Jacksonville, AL",37-0000,major,,,,,,,,,,,1220,1120,1140,1280,1180,1080
AL,11500,"Anniston-Oxford-Jacksonville, AL",39-0000,major,,,,,,,,,,,880,870,1030,1060,670,580
AL,11500,"Anniston-Oxford-Jacksonville, AL",41-0000,major,,,,,,,,,,,4860,4600,4730,4700,4920,4760
AL,11500,"Anniston-Oxford-Jacksonville, AL",43-0000,major,,,,,,,,,,,6530,6310,6130,6060,5320,5170
AL,11500,"Anniston-Oxford-Jacksonville, AL",45-0000,major,,,,,,,,,,,,,40,30,30,30
AL,11500,"Anniston-Oxford-Jacksonville, AL",47-0000,major,,,,,,,,,,,1140,1050,1000,1100,1260,1190
AL,11500,"Anniston-Oxford-Jacksonville, AL",49-0000,major,,,,,,,,,,,2770,2460,2660,2920,3320,3130
AL,11500,"Anniston-Oxford-Jacksonville, AL",51-0000,major,,,,,,,,,,,6130,5800,6210,6210,6400,6060
AL,11500,"Anniston-Oxford-Jacksonville, AL",53-0000,major,,,,,,,,,,,3070,3140,3350,3070,3380,3430
AL,12220,"Auburn-Opelika, AL",11-0000,major,1900,1770,1730,1720,1820,1620,1650,1590,1650,1630,1850,1920,2080,1980,2180,2320
AL,12220,"Auburn-Opelika, AL",13-0000,major,680,740,750,900,1010,1060,990,1140,1190,1410,1350,1380,1390,1690,1780,1840
AL,12220,"Auburn-Opelika, AL",15-0000,major,420,480,640,580,550,520,580,670,600,740,850,780,790,690,680,720
AL,12220,"Auburn-Opelika, AL",17-0000,major,460,550,590,580,600,570,520,490,470,510,550,570,730,680,710,750
AL,12220,"Auburn-Opelika, AL",19-0000,major,,,460,480,560,540,570,500,590,530,450,390,460,490,500,490
AL,12220,"Auburn-Opelika, AL",21-0000,major,450,490,500,500,580,480,500,560,560,560,540,560,560,650,630,670
AL,12220,"Auburn-Opelika, AL",23-0000,major,90,100,60,70,**,100,130,140,**,140,120,110,100,120,110,120
AL,12220,"Auburn-Opelika, AL",25-0000,major,,4300,4340,4340,4810,4820,4530,5040,5510,5590,4940,4830,4780,4990,5220,4880
AL,12220,"Auburn-Opelika, AL",27-0000,major,420,440,480,530,650,650,610,540,500,490,540,540,660,620,660,660
AL,12220,"Auburn-Opelika, AL",29-0000,major,,,2000,2080,2220,2230,2420,2640,2740,2890,2940,2940,2890,3090,2960,3110
AL,12220,"Auburn-Opelika, AL",31-0000,major,,,1040,1040,1070,1030,930,950,1050,1030,1350,1370,1430,1270,1510,1620
