,state_code,area_code,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021
120,17,16060,0.012173913043478311,,58.1,6.6,51.5,52.8,6.7,46.1,58.2,6.9,51.3,-0.09122203098106718,0.015151515151515138,-0.10485436893203881
121,17,16580,0.03130590339892666,0.09981753557001678,116.4,11.1,105.3,104.6,11.3,93.3,115.3,11.6,103.7,-0.10137457044673548,0.018018018018018056,-0.11396011396011396
122,17,16974,0.037026931157739584,0.09625073345111583,3716.5,403.8,3312.7,3390.2,399.6,2990.6,3800.6,420.1,3380.4,-0.08779765908785153,-0.010401188707280795,-0.0972318652458719
123,17,19180,-0.05862068965517239,0.0796525196646209,27.1,5.5,21.6,25.7,5.1,20.6,27.3,5.6,21.7,-0.05166051660516613,-0.07272727272727275,-0.04629629629629628
124,17,19340,0.008108108108108109,0.09855396910101394,182.5,33.0,149.5,170.4,32.3,138.1,186.5,33.9,152.6,-0.06630136986301371,-0.02121212121212135,-0.07625418060200673
125,17,19500,-0.026923076923076897,0.09588007919298577,49.9,13.9,36.0,45.7,13.9,31.8,50.6,14.2,36.5,-0.08416833667334656,0.0,-0.1166666666666667
126,17,20994,0.022300469483568144,0.09671059409742715,257.1,49.3,207.8,230.7,48.1,182.6,261.3,50.9,210.5,-0.10268378063010519,-0.024340770791074995,-0.12127045235803668
127,17,28100,0.05517241379310341,0.0887757301433344,44.7,8.3,36.4,42.1,8.7,33.4,45.9,8.6,37.2,-0.058165548098433995,0.04819277108433728,-0.08241758241758246
128,17,29404,0.048375093029025054,0.09319880223172923,411.9,76.7,335.2,387.6,76.1,311.5,422.6,78.2,344.4,-0.05899490167516375,-0.007822685788787642,-0.07070405727923623
129,17,37900,-0.0322215941209724,0.1011181706224809,167.9,30.2,137.7,155.2,29.2,126.0,171.2,31.0,140.2,-0.07564026206075058,-0.0331125827814569,-0.08496732026143783
130,17,40420,-0.005940594059405978,0.0919680782597503,149.9,37.7,112.2,134.6,34.3,100.3,150.6,37.4,113.3,-0.10206804536357583,-0.09018567639257313,-0.10606060606060608
131,17,44100,-0.025202520252025178,0.09481487999648018,106.7,6.2,100.5,97.3,6.8,90.5,108.3,6.9,101.3,-0.08809746954076858,0.09677419354838701,-0.09950248756218905
132,18,14020,0.05053191489361698,0.1093411136941631,80.7,12.0,68.7,69.5,12.8,56.7,79.0,12.6,66.4,-0.1387856257744734,0.06666666666666665,-0.1746724890829694
133,18,18020,0.03307392996108955,0.07711236833632312,52.6,21.5,31.1,47.4,20.1,27.3,53.1,21.8,31.3,-0.09885931558935368,-0.06511627906976736,-0.12218649517684887
134,18,21140,0.07674236491777602,0.05525125872702654,138.9,72.4,66.5,127.9,65.4,62.5,137.5,70.4,67.0,-0.0791936645068394,-0.09668508287292821,-0.06015037593984962
135,18,21780,0.020886075949367162,0.09869379192731718,161.3,33.4,127.9,148.3,31.1,117.2,161.3,33.5,127.7,-0.08059516429014257,-0.06886227544910173,-0.08365910867865523
136,18,23060,0.05509259259259262,0.09355073833112876,224.9,48.7,176.2,210.3,46.3,164.0,227.9,49.5,178.4,-0.06491774121831928,-0.04928131416837789,-0.0692395005675368
137,18,23844,0.022338049143708114,0.11863789573720691,271.3,51.4,219.9,249.9,47.5,202.4,274.6,53.3,221.4,-0.07887946922226319,-0.07587548638132291,-0.07958162801273305
138,18,26900,0.07228324833267942,0.09880485007336456,1076.4,145.3,931.1,1017.2,145.5,871.7,1093.3,148.6,944.7,-0.05499814195466368,0.0013764624913970014,-0.06379551068628497
139,18,29020,-0.014851485148514887,0.10727570302038389,40.1,12.6,27.5,37.2,12.8,24.4,39.8,12.5,27.3,-0.0723192019950124,0.01587301587301604,-0.11272727272727279
