,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
1570,"Lake and Peninsula Borough, Alaska",2,164,1592,55,355,20,1108,54,183.0,,,,,,
1571,"Lake of the Woods County, Minnesota",27,77,3740,64,3458,27,130,61,949.0,,,,,,
1572,"Lamar County, Alabama",1,75,13805,263,11874,1399,254,15,3060.0,6.6,11.0,39.8,21.8,8.8,11.9
1573,"Lamar County, Georgia",13,171,19077,503,12438,5614,378,144,3316.0,2.3,10.7,39.4,23.2,8.6,15.8
1574,"Lamar County, Mississippi",28,73,63343,1844,46411,13139,946,1003,9096.0,3.9,6.6,24.2,21.8,9.3,34.1
1575,"Lamar County, Texas",48,277,49859,4210,36638,6560,2059,392,9726.0,5.0,10.7,33.1,25.3,7.3,18.7
1576,"Lamb County, Texas",48,279,12893,7230,5014,445,171,33,2240.0,13.6,11.5,32.4,21.3,6.8,14.4
1577,"Lamoille County, Vermont",50,15,25362,469,23919,277,520,177,4541.0,1.9,5.3,25.6,18.2,10.8,38.2
1578,"Lampasas County, Texas",48,281,21428,4158,15511,768,649,342,4322.0,3.8,5.2,29.4,27.0,14.6,19.9
1579,"Lancaster County, Nebraska",31,109,319090,23567,257285,12844,10094,15300,45902.0,2.8,3.6,21.5,21.1,11.5,39.5
1580,"Lancaster County, Pennsylvania",42,71,545724,59831,443541,19737,9096,13519,100381.0,6.8,8.1,35.3,14.8,7.7,27.3
1581,"Lancaster County, South Carolina",45,57,98012,5735,68650,20477,1638,1512,21013.0,4.7,9.4,29.9,18.9,10.2,26.9
1582,"Lancaster County, Virginia",51,103,10603,269,7110,2973,171,80,3888.0,3.6,6.0,30.7,21.0,7.2,31.5
1583,"Lander County, Nevada",32,15,5532,1281,3824,39,332,56,885.0,5.1,6.6,38.0,23.2,14.7,12.4
1584,"Lane County, Kansas",20,101,1535,137,1329,15,48,6,361.0,,,,,,
1585,"Lane County, Oregon",41,39,382067,35623,310592,4151,19098,12603,76174.0,2.4,5.7,23.2,28.7,9.6,30.5
1586,"Langlade County, Wisconsin",55,67,19189,407,17955,219,512,96,4739.0,2.5,7.3,42.3,20.5,10.8,16.7
1587,"Lanier County, Georgia",13,173,10423,664,7094,2233,310,122,1470.0,7.0,13.0,37.9,16.5,9.1,16.5
1588,"Lapeer County, Michigan",26,87,87607,4130,80377,996,1512,592,16533.0,2.6,6.6,35.8,25.9,10.9,18.3
1589,"Laramie County, Wyoming",56,21,99500,14843,78158,2213,2968,1318,16390.0,1.8,5.2,25.8,26.1,12.6,28.5
1590,"Larimer County, Colorado",8,69,356899,42525,293115,3667,9218,8374,57774.0,1.3,2.9,19.0,20.4,9.2,47.3
1591,"Larue County, Kentucky",21,123,14398,463,13158,428,286,63,2573.0,5.7,10.3,39.2,21.4,11.0,12.4
1592,"Las Animas County, Colorado",8,71,14506,5861,7839,259,376,171,3686.0,5.7,6.4,29.5,27.4,11.5,19.5
1593,"Lassen County, California",6,35,30573,5910,19796,2432,1791,644,4738.0,3.8,13.1,34.5,27.1,8.7,12.9
1594,"Latah County, Idaho",16,57,40108,1817,35492,420,1366,1013,5650.0,1.2,3.0,19.7,22.8,7.9,45.4
1595,"Latimer County, Oklahoma",40,77,10073,426,6381,126,3080,60,2231.0,3.7,8.6,36.8,21.0,12.9,17.2
1596,"Lauderdale County, Alabama",1,77,92729,2652,78425,9143,1779,730,19007.0,4.2,8.4,36.0,21.0,6.9,23.5
1597,"Lauderdale County, Mississippi",28,75,74125,1693,38546,32495,842,549,13170.0,5.3,10.2,27.5,24.8,12.5,19.7
1598,"Lauderdale County, Tennessee",47,97,25633,695,15383,8871,550,134,4180.0,6.7,16.3,45.4,18.7,4.7,8.3
1599,"Laurel County, Kentucky",21,125,60813,982,58163,463,852,353,10165.0,8.5,10.5,39.1,20.0,7.5,14.4
1600,"Laurens County, Georgia",13,175,47546,1369,27298,17684,652,543,8594.0,4.1,10.0,43.1,17.6,9.0,16.2
1601,"Laurens County, South Carolina",45,59,67493,3580,45675,16698,1142,398,12694.0,6.4,12.6,33.8,20.9,10.0,16.2
1602,"Lavaca County, Texas",48,285,20154,3950,14680,1170,236,118,4775.0,6.3,8.1,40.9,20.4,7.7,16.7
1603,"Lawrence County, Alabama",1,79,32924,779,25122,3543,3404,76,6287.0,6.7,14.0,41.2,18.0,7.6,12.6
1604,"Lawrence County, Arkansas",5,75,16406,292,15560,195,310,49,3268.0,6.0,9.8,38.6,23.1,7.0,15.4
1605,"Lawrence County, Illinois",17,101,15678,624,13229,1553,198,74,2800.0,4.8,10.3,34.7,21.1,14.2,14.9
1606,"Lawrence County, Indiana",18,93,45370,792,43356,206,709,307,9342.0,3.5,8.2,42.3,19.5,10.7,15.8
1607,"Lawrence County, Kentucky",21,127,15317,213,14767,63,226,48,2760.0,9.7,15.2,42.5,16.5,6.3,9.8
1608,"Lawrence County, Mississippi",28,77,12586,274,8111,4038,114,49,2291.0,5.4,12.9,33.6,18.0,12.5,17.6
1609,"Lawrence County, Missouri",29,109,38355,3033,33902,197,1019,204,7075.0,4.3,11.0,38.7,22.9,7.0,16.0
1610,"Lawrence County, Ohio",39,87,59463,594,56316,1238,1035,280,11383.0,3.0,9.5,43.9,19.0,9.8,14.9
1611,"Lawrence County, Pennsylvania",42,73,85512,1376,78364,3577,1795,400,19269.0,2.6,6.7,43.3,15.9,9.5,22.1
1612,"Lawrence County, South Dakota",46,81,25844,900,23410,190,1016,328,5917.0,2.2,4.3,29.6,21.6,7.4,35.0
1613,"Lawrence County, Tennessee",47,99,44142,1064,41195,772,892,219,7922.0,7.7,8.9,44.3,17.5,7.3,14.3
1614,"Le Flore County, Oklahoma",40,79,49853,3585,35412,966,9495,395,9104.0,5.6,10.8,41.1,18.3,9.5,14.6
1615,"Le Sueur County, Minnesota",27,79,28887,1956,26097,220,430,184,5113.0,2.1,4.0,35.8,21.7,13.4,23.0
1616,"Lea County, New Mexico",35,25,71070,42705,24366,2403,1217,379,8076.0,11.9,13.9,31.5,21.7,7.4,13.6
1617,"Leake County, Mississippi",28,79,22786,1105,10624,9475,1493,89,3810.0,8.3,13.1,36.6,19.3,8.4,14.3
1618,"Leavenworth County, Kansas",20,103,81758,5940,64369,7140,2958,1351,12296.0,2.1,5.8,28.3,23.8,8.6,31.5
1619,"Lebanon County, Pennsylvania",42,75,141793,20058,114867,2922,1848,2098,28173.0,4.3,8.6,44.0,15.0,7.5,20.7
1620,"Lee County, Alabama",1,81,164542,6091,111364,37261,2961,6865,20412.0,2.8,6.3,23.7,22.7,9.2,35.3
1621,"Lee County, Arkansas",5,77,8857,206,3655,4787,156,53,1787.0,6.5,17.7,40.4,18.8,5.9,10.7
1622,"Lee County, Florida",12,71,770577,173497,510000,62344,11572,13164,224632.0,5.0,6.6,31.0,20.3,8.9,28.2
1623,"Lee County, Georgia",13,177,29992,960,20919,6888,448,777,3905.0,1.4,7.7,29.8,23.9,11.8,25.4
1624,"Lee County, Illinois",17,103,34096,2248,29277,1839,473,259,6878.0,2.3,8.9,33.8,26.3,10.4,18.2
1625,"Lee County, Iowa",19,111,33657,1240,30489,1014,698,216,7057.0,1.4,5.7,40.8,23.4,12.3,16.4
1626,"Lee County, Kentucky",21,129,7403,100,6975,206,106,16,1274.0,18.5,13.4,36.3,18.2,5.3,8.3
1627,"Lee County, Mississippi",28,81,85436,2334,55204,25831,1225,842,12956.0,4.5,11.9,25.9,23.1,10.3,24.4
1628,"Lee County, North Carolina",37,105,61779,12105,35698,11753,1485,738,10404.0,7.0,9.5,26.8,22.6,12.5,21.5
1629,"Lee County, South Carolina",45,61,16828,429,5517,10572,234,76,3310.0,6.0,12.5,41.5,16.0,8.1,15.9
1630,"Lee County, Texas",48,287,17239,4217,10834,1775,310,103,3219.0,7.0,8.4,36.2,26.0,7.8,14.6
1631,"Lee County, Virginia",51,105,23423,461,21769,818,298,77,5211.0,9.4,13.9,34.5,23.8,7.3,11.2
1632,"Leelanau County, Michigan",26,89,21761,980,19562,138,936,145,6956.0,1.4,2.9,21.6,19.9,9.4,44.7
1633,"Leflore County, Mississippi",28,83,28183,794,6085,20907,228,169,4150.0,8.5,9.9,38.2,20.1,4.8,18.5
1634,"Lehigh County, Pennsylvania",42,77,369318,96920,230879,21643,6492,13384,63184.0,4.3,6.8,32.9,17.0,9.2,29.9
1635,"Lemhi County, Idaho",16,59,8027,284,7476,23,211,33,2459.0,1.7,6.2,30.3,29.9,9.1,22.9
1636,"Lenawee County, Michigan",26,91,98451,8049,85146,2505,2275,476,19148.0,2.6,6.5,36.9,23.9,9.1,21.0
1637,"Lenoir County, North Carolina",37,107,55949,4422,27367,22839,944,377,11303.0,7.3,13.0,31.9,21.6,11.2,14.9
1638,"Leon County, Florida",12,73,293582,19613,164198,92148,7002,10621,40786.0,2.1,4.4,19.0,19.0,9.3,46.2
1639,"Leon County, Texas",48,289,17404,2617,13196,1203,280,108,4334.0,6.0,12.3,40.0,20.6,7.2,14.0
1640,"Leslie County, Kentucky",21,131,9877,77,9610,40,116,34,1846.0,10.9,17.8,41.9,13.9,6.9,8.7
1641,"Letcher County, Kentucky",21,133,21553,181,21002,130,193,47,4288.0,9.7,14.6,37.0,15.7,10.8,12.1
1642,"Levy County, Florida",12,75,41503,3640,32891,3684,942,346,10436.0,3.8,11.3,41.1,20.9,10.7,12.2
1643,"Lewis County, Idaho",16,61,3838,182,3212,24,354,66,1031.0,,,,,,
1644,"Lewis County, Kentucky",21,135,13275,105,12967,55,140,8,2457.0,11.6,12.5,42.8,17.0,6.9,9.1
1645,"Lewis County, Missouri",29,111,9776,182,9042,300,207,45,1835.0,4.0,7.5,45.9,22.1,6.9,13.6
1646,"Lewis County, New York",36,49,26296,463,25228,156,313,136,5000.0,2.7,7.1,44.7,15.0,12.1,18.4
1647,"Lewis County, Tennessee",47,101,12268,303,11401,245,237,82,2613.0,5.5,10.1,42.5,23.2,8.2,10.4
1648,"Lewis County, Washington",53,41,80707,8500,66873,614,3565,1155,17200.0,3.9,8.5,29.1,28.2,12.5,17.7
1649,"Lewis County, West Virginia",54,41,15907,198,15286,100,234,89,3363.0,3.7,7.9,51.0,17.4,5.5,14.5
1650,"Lewis and Clark County, Montana",30,49,69432,2383,63216,295,3006,532,13471.0,1.2,3.2,23.6,22.8,9.2,40.1
1651,"Lexington County, South Carolina",45,63,298750,18794,221527,45366,6374,6689,48450.0,3.5,6.9,28.2,21.5,9.6,30.4
1652,"Lexington city, Virginia",51,678,7446,267,6112,621,221,225,1124.0,2.8,5.8,21.9,18.2,4.6,46.7
1653,"Liberty County, Florida",12,77,8354,588,5929,1599,207,31,1256.0,5.1,13.5,45.8,16.8,4.4,14.4
1654,"Liberty County, Georgia",13,179,61435,7775,23171,26316,2726,1447,5908.0,2.8,6.5,31.6,29.4,11.5,18.3
1655,"Liberty County, Montana",30,51,2337,19,2235,12,66,5,516.0,,,,,,
1656,"Liberty County, Texas",48,291,88219,25209,53005,7981,1502,522,11399.0,9.7,12.9,37.8,23.9,5.9,9.7
1657,"Licking County, Ohio",39,89,176862,3674,157506,7175,4450,4057,29644.0,1.8,6.7,34.3,21.4,9.8,26.1
1658,"Limestone County, Alabama",1,83,98915,6149,75002,13409,2654,1701,15081.0,5.5,9.8,30.4,20.4,8.1,25.7
1659,"Limestone County, Texas",48,293,23437,5296,13623,3924,420,174,4670.0,8.5,10.4,33.2,26.2,6.8,14.8
1660,"Lincoln County, Arkansas",5,79,13024,542,8352,3879,222,29,2070.0,5.1,13.8,47.3,18.3,5.7,9.7
1661,"Lincoln County, Colorado",8,73,5701,842,4387,298,124,50,1004.0,2.3,6.8,54.5,15.9,7.9,12.6
1662,"Lincoln County, Georgia",13,181,7921,166,5281,2279,156,39,1944.0,5.4,12.5,39.7,18.8,7.8,15.9
1663,"Lincoln County, Idaho",16,63,5366,1686,3485,19,149,27,759.0,12.6,10.8,33.3,24.2,8.9,10.3
1664,"Lincoln County, Kansas",20,105,2962,110,2767,16,57,12,753.0,,,,,,
1665,"Lincoln County, Kentucky",21,137,24549,425,23138,523,385,78,4616.0,9.8,10.4,42.7,16.5,7.7,13.0
1666,"Lincoln County, Maine",23,15,34634,467,33143,197,556,271,9763.0,2.1,4.9,34.4,17.7,7.5,33.5
1667,"Lincoln County, Minnesota",27,81,5639,132,5385,13,78,31,1415.0,2.2,5.9,38.3,21.5,12.8,19.3
1668,"Lincoln County, Mississippi",28,85,34153,460,22857,10271,414,151,5963.0,4.4,9.2,37.6,21.1,11.5,16.2
1669,"Lincoln County, Missouri",29,113,59013,1557,54800,1133,1203,320,8074.0,2.2,8.3,42.3,20.8,9.6,16.8
1670,"Lincoln County, Montana",30,53,19980,668,18445,74,687,106,5902.0,4.4,6.0,37.3,24.9,7.8,19.6
1671,"Lincoln County, Nebraska",31,111,34914,3184,30436,377,616,301,7012.0,2.8,3.7,28.5,26.5,15.3,23.2
1672,"Lincoln County, Nevada",32,17,5183,405,4382,157,185,54,1311.0,2.7,11.1,34.3,24.7,7.6,19.6
1673,"Lincoln County, New Mexico",35,27,19572,6727,11809,127,797,112,5717.0,3.9,6.6,29.9,26.7,7.1,25.8
1674,"Lincoln County, North Carolina",37,109,86111,6480,72825,4683,1470,653,15456.0,3.3,8.8,31.1,23.4,10.3,23.0
1675,"Lincoln County, Oklahoma",40,81,34877,1253,28573,659,4238,154,6496.0,2.8,9.9,40.8,24.6,6.3,15.5
1676,"Lincoln County, Oregon",41,41,49962,4735,40958,367,3199,703,14656.0,2.3,6.3,27.3,30.0,9.3,24.9
1677,"Lincoln County, South Dakota",46,83,61128,1476,56371,1052,1326,903,8185.0,2.0,3.2,23.0,20.2,14.1,37.6
1678,"Lincoln County, Tennessee",47,103,34366,1302,29673,2324,875,192,6755.0,5.1,11.4,40.5,17.3,7.2,18.4
1679,"Lincoln County, Washington",53,43,10939,393,9932,62,480,72,2833.0,1.7,5.6,29.3,28.6,9.8,25.1
1680,"Lincoln County, West Virginia",54,43,20409,150,19902,80,234,43,4076.0,8.3,10.8,47.0,18.8,6.1,9.0
1681,"Lincoln County, Wisconsin",55,69,27593,466,26262,232,468,165,6118.0,2.0,6.0,38.1,22.9,12.5,18.4
1682,"Lincoln County, Wyoming",56,23,19830,909,18308,104,400,109,3576.0,1.7,5.6,31.8,25.1,12.2,23.7
1683,"Lincoln Parish, Louisiana",22,61,46742,1453,25069,18778,710,732,6536.0,3.7,7.8,26.8,20.0,6.0,35.6
1684,"Linn County, Iowa",19,113,226706,7675,193200,13492,6254,6085,36853.0,1.7,3.8,27.0,21.6,12.8,33.1
1685,"Linn County, Kansas",20,107,9703,280,9026,85,271,41,2237.0,3.3,6.9,38.9,26.8,7.9,16.2
1686,"Linn County, Missouri",29,115,11920,338,11230,107,210,35,2548.0,3.2,7.4,45.7,18.3,8.4,16.9
1687,"Linn County, Oregon",41,43,129749,12355,109436,775,5444,1739,24742.0,2.9,7.6,29.0,31.2,10.0,19.3
1688,"Lipscomb County, Texas",48,295,3233,1114,1963,30,104,22,617.0,,,,,,
1689,"Litchfield County, Connecticut",9,5,180333,12800,157694,3173,2781,3885,39654.0,2.5,4.6,29.9,18.3,9.4,35.4
1690,"Little River County, Arkansas",5,81,12259,457,8903,2407,428,64,2567.0,2.0,9.0,44.7,25.9,5.9,12.5
1691,"Live Oak County, Texas",48,297,12207,4982,6462,504,181,78,2533.0,8.1,15.0,34.1,25.7,4.9,12.2
1692,"Livingston County, Illinois",17,105,35648,1694,31646,1467,518,323,6913.0,2.9,7.2,44.7,21.9,8.6,14.8
1693,"Livingston County, Kentucky",21,139,9194,229,8698,53,172,42,2068.0,4.5,11.7,43.6,22.5,5.8,11.8
1694,"Livingston County, Michigan",26,93,191995,4897,180756,1209,3192,1941,34370.0,1.0,3.8,25.8,24.0,10.0,35.4
1695,"Livingston County, Missouri",29,117,15227,311,13971,551,275,119,2971.0,3.8,9.6,39.8,18.7,9.4,18.8
1696,"Livingston County, New York",36,51,62914,2451,56935,1577,1100,851,11536.0,2.3,7.1,31.9,19.2,13.1,26.5
1697,"Livingston Parish, Louisiana",22,63,140789,5720,122156,9756,2160,997,18763.0,4.9,9.9,38.1,20.7,6.7,19.7
1698,"Llano County, Texas",48,299,21795,2358,18747,208,360,122,8119.0,5.3,8.9,26.5,26.7,7.3,25.3
1699,"Logan County, Arkansas",5,83,21466,651,19445,290,587,493,4396.0,4.9,8.9,45.1,20.4,7.4,13.3
1700,"Logan County, Colorado",8,75,22409,3858,16934,943,472,202,4056.0,4.1,6.3,33.7,22.4,13.2,20.2
1701,"Logan County, Illinois",17,107,28618,992,24594,2360,455,217,5331.0,3.2,8.1,35.3,24.1,9.4,19.9
1702,"Logan County, Kansas",20,109,2794,193,2506,15,55,25,591.0,,,,,,
1703,"Logan County, Kentucky",21,141,27102,808,23953,1669,581,91,5051.0,6.7,8.3,44.5,17.5,6.6,16.4
1704,"Logan County, Nebraska",31,113,748,28,699,1,17,3,169.0,,,,,,
1705,"Logan County, North Dakota",38,47,1850,48,1750,3,42,7,492.0,,,,,,
1706,"Logan County, Ohio",39,91,45672,938,42464,802,1124,344,8557.0,2.1,5.3,48.4,18.9,8.8,16.5
1707,"Logan County, Oklahoma",40,83,48011,3233,37139,3759,3577,303,7868.0,2.6,7.3,32.5,21.0,8.9,27.7
1708,"Logan County, West Virginia",54,45,32019,322,30710,574,329,84,6740.0,6.0,14.2,43.9,19.1,6.8,10.0
1709,"Long County, Georgia",13,183,19559,2157,11188,5112,803,299,1987.0,3.9,8.4,34.7,28.0,7.5,17.4
1710,"Lonoke County, Arkansas",5,85,73309,3350,62900,4554,1837,668,10116.0,3.4,7.5,36.7,22.3,9.5,20.6
1711,"Lorain County, Ohio",39,93,309833,32185,240854,24166,8557,4071,58196.0,2.1,8.2,31.0,23.1,10.8,24.9
1712,"Los Alamos County, New Mexico",35,28,19369,3574,13783,237,503,1272,3503.0,0.9,1.5,8.8,14.1,7.3,67.4
1713,"Los Angeles County, California",6,37,10039107,4881970,2615947,798279,234861,1508050,1413753.0,12.3,8.6,20.6,19.0,7.0,32.5
1714,"Loudon County, Tennessee",47,105,54068,4987,47116,722,755,488,14536.0,5.5,8.3,32.4,20.0,7.3,26.4
1715,"Loudoun County, Virginia",51,107,413538,57508,226526,31056,14905,83543,40150.0,3.1,3.0,12.4,14.1,6.0,61.3
1716,"Louisa County, Iowa",19,115,11035,1777,8647,99,136,376,2137.0,5.4,10.5,37.7,19.7,11.9,14.9
1717,"Louisa County, Virginia",51,109,37591,1251,29351,5740,994,255,7630.0,5.3,9.5,32.7,20.8,7.7,24.1
1718,"Loup County, Nebraska",31,115,664,26,631,5,1,1,174.0,,,,,,
1719,"Love County, Oklahoma",40,85,10253,1662,7174,244,1107,66,2007.0,7.2,10.5,41.6,21.5,5.8,13.5
1720,"Loving County, Texas",48,301,169,23,137,6,1,2,23.0,,,,,,
1721,"Lowndes County, Alabama",1,85,9726,181,2442,6980,84,39,1921.0,5.6,16.0,39.6,15.2,8.9,14.7
1722,"Lowndes County, Georgia",13,185,117406,7014,62192,43073,2585,2542,14794.0,3.4,10.0,31.4,20.5,9.4,25.3
1723,"Lowndes County, Mississippi",28,87,58595,1216,30018,26056,689,616,9535.0,4.5,9.5,32.0,21.1,9.6,23.4
1724,"Lubbock County, Texas",48,303,310569,112706,163533,21895,5310,7125,39476.0,6.1,7.7,25.6,24.2,6.2,30.1
1725,"Lucas County, Iowa",19,117,8600,205,8226,39,98,32,1923.0,2.5,5.4,41.3,23.3,10.5,17.0
1726,"Lucas County, Ohio",39,95,428348,31604,292291,84131,13003,7319,71542.0,2.5,8.2,29.7,23.3,10.0,26.3
1727,"Luce County, Michigan",26,95,6229,107,4809,746,551,16,1313.0,3.2,8.3,36.8,25.7,7.5,18.4
1728,"Lumpkin County, Georgia",13,187,33610,1710,30333,504,776,287,5987.0,3.2,12.0,30.4,21.2,6.8,26.4
1729,"Luna County, New Mexico",35,29,23709,16096,6768,242,387,216,5032.0,15.3,14.9,34.4,16.5,6.3,12.5
1730,"Lunenburg County, Virginia",51,111,12196,657,7186,4041,266,46,2768.0,7.0,15.2,40.4,18.4,7.7,11.3
1731,"Luzerne County, Pennsylvania",42,79,317417,43740,251652,13434,4370,4221,63977.0,3.2,7.0,39.0,17.9,10.1,22.9
1732,"Lycoming County, Pennsylvania",42,81,113299,2436,102341,5170,2584,768,22461.0,2.4,7.6,38.9,17.2,10.6,23.4
1733,"Lyman County, South Dakota",46,85,3781,97,2068,21,1579,16,612.0,,,,,,
1734,"Lynchburg city, Virginia",51,680,82168,3704,51430,22680,2133,2221,11906.0,3.8,7.5,25.2,19.8,8.1,35.6
1735,"Lynn County, Texas",48,305,5951,2783,2970,116,72,10,974.0,10.6,14.0,29.4,22.9,5.8,17.3
1736,"Lyon County, Iowa",19,119,11755,326,11174,34,162,59,2159.0,4.7,4.7,37.1,18.6,14.2,20.7
1737,"Lyon County, Kansas",20,111,33195,7231,23404,694,1021,845,5190.0,6.0,5.7,29.3,23.7,7.7,27.5
1738,"Lyon County, Kentucky",21,143,8210,183,7369,474,138,46,2138.0,3.4,8.8,41.1,21.7,8.1,16.9
1739,"Lyon County, Minnesota",27,83,25474,1832,21232,810,434,1166,4192.0,3.5,4.5,31.7,21.5,12.7,26.1
1740,"Lyon County, Nevada",32,19,57510,10397,42439,665,3024,985,12191.0,4.2,8.9,32.8,29.7,9.8,14.4
1741,"Mackinac County, Michigan",26,97,10799,213,7842,371,2276,97,3084.0,2.7,6.6,34.0,24.4,9.0,23.3
1742,"Macomb County, Michigan",26,99,873972,24084,681480,108482,22834,37092,152268.0,3.6,6.4,29.7,24.6,10.7,24.9
1743,"Macon County, Alabama",1,87,18068,343,2974,14396,251,104,3785.0,4.1,14.1,30.2,24.0,7.2,20.4
1744,"Macon County, Georgia",13,193,12947,581,4242,7800,139,185,2344.0,7.5,18.9,34.8,24.2,5.9,8.8
1745,"Macon County, Illinois",17,115,104009,2489,78877,18235,3211,1197,21195.0,2.4,7.2,35.4,24.1,8.8,22.1
1746,"Macon County, Missouri",29,121,15117,271,14081,364,294,107,3444.0,4.2,7.6,45.1,19.2,7.6,16.3
1747,"Macon County, North Carolina",37,113,35858,2641,31786,486,589,356,10350.0,4.1,6.6,31.0,24.8,9.6,23.8
1748,"Macon County, Tennessee",47,111,24602,1256,22548,246,363,189,3961.0,9.9,9.8,45.7,17.9,6.4,10.3
1749,"Macoupin County, Illinois",17,117,44926,568,43111,424,632,191,9145.0,1.8,6.9,39.8,23.5,9.6,18.4
1750,"Madera County, California",6,39,157327,92483,52197,5016,4213,3418,22573.0,16.4,11.7,24.9,24.6,7.9,14.6
1751,"Madison County, Alabama",1,89,372909,19352,240537,90968,11862,10190,57136.0,2.6,5.7,20.6,20.2,8.1,42.8
1752,"Madison County, Arkansas",5,87,16576,977,14802,73,518,206,3211.0,8.3,11.1,43.9,17.3,5.2,14.2
1753,"Madison County, Florida",12,79,18493,1045,10097,6911,349,91,3902.0,4.9,14.1,39.7,17.0,10.3,14.0
1754,"Madison County, Georgia",13,195,29880,1815,24114,2750,571,630,5197.0,5.9,10.9,39.8,17.9,6.9,18.5
1755,"Madison County, Idaho",16,65,39907,3098,35183,249,724,653,2829.0,1.5,2.6,15.2,27.2,17.1,36.4
1756,"Madison County, Illinois",17,119,262966,9035,222583,22862,5747,2739,46334.0,2.2,5.4,29.8,25.4,10.4,26.8
1757,"Madison County, Indiana",18,95,129569,5648,109614,10854,2650,803,24197.0,2.7,8.9,39.4,21.5,9.1,18.4
1758,"Madison County, Iowa",19,121,16338,363,15499,87,241,148,2880.0,2.7,3.0,36.6,20.7,12.4,24.5
1759,"Madison County, Kentucky",21,151,92987,2468,83207,4101,2159,1052,13194.0,4.8,7.7,28.1,20.1,8.5,30.8
1760,"Madison County, Mississippi",28,89,106272,3334,58588,40349,1078,2923,14724.0,2.6,5.7,17.0,17.4,8.9,48.4
1761,"Madison County, Missouri",29,123,12088,279,11437,69,199,104,2371.0,4.8,10.8,36.5,22.4,10.0,15.6
1762,"Madison County, Montana",30,57,8600,375,7957,34,184,50,2540.0,1.3,3.3,30.8,20.8,12.6,31.2
1763,"Madison County, Nebraska",31,119,35099,5530,27617,450,877,625,5693.0,5.2,4.4,30.4,21.6,15.4,23.0
1764,"Madison County, New York",36,53,70941,1654,65873,1258,1462,694,13394.0,2.3,5.6,34.8,17.4,13.6,26.2
1765,"Madison County, North Carolina",37,115,21755,532,20435,298,372,118,5034.0,4.9,8.1,31.3,19.1,8.1,28.5
1766,"Madison County, Ohio",39,97,44731,1008,39402,2835,850,636,7098.0,2.8,10.2,41.6,20.8,7.1,17.5
1767,"Madison County, Tennessee",47,113,97984,3990,54478,36650,1737,1129,17201.0,3.7,7.4,35.3,20.9,7.0,25.6
1768,"Madison County, Texas",48,313,14284,3455,7725,2750,244,110,2264.0,6.6,12.5,38.5,22.8,4.8,14.7
1769,"Madison County, Virginia",51,113,13261,428,11183,1193,372,85,3036.0,5.2,8.8,36.3,20.7,5.7,23.4
1770,"Madison Parish, Louisiana",22,65,10951,244,3716,6815,145,31,1635.0,9.2,16.9,36.9,18.8,5.3,12.8
1771,"Magoffin County, Kentucky",21,153,12161,146,11845,29,125,16,2162.0,15.4,14.8,36.4,18.8,5.0,9.5
1772,"Mahaska County, Iowa",19,123,22095,538,20490,376,313,378,4096.0,2.9,5.0,39.6,20.3,10.3,22.0
1773,"Mahnomen County, Minnesota",27,87,5527,235,2479,29,2778,6,954.0,3.3,9.8,36.7,23.6,13.3,13.2
1774,"Mahoning County, Ohio",39,99,228683,14772,172552,34344,4919,2096,49011.0,2.3,6.8,37.6,21.4,7.6,24.2
1775,"Major County, Oklahoma",40,93,7629,771,6412,48,340,58,1563.0,5.2,6.2,38.6,22.7,7.3,20.0
1776,"Malheur County, Oregon",41,45,30571,10591,18382,398,768,432,5140.0,7.0,11.9,31.4,27.1,8.9,13.7
1777,"Manassas Park city, Virginia",51,685,17478,7174,5451,2432,467,1954,1524.0,8.2,9.1,26.4,17.3,11.1,27.9
1778,"Manassas city, Virginia",51,683,41085,15656,16248,5581,1102,2498,4438.0,9.1,8.2,25.8,18.4,8.9,29.6
1779,"Manatee County, Florida",12,81,403253,68094,284753,34377,7046,8983,113157.0,3.9,6.4,30.1,21.0,8.9,29.8
1780,"Manistee County, Michigan",26,101,24558,860,21756,834,1003,105,6458.0,2.3,7.9,35.6,22.7,11.2,20.3
1781,"Manitowoc County, Wisconsin",55,71,78981,3498,70914,823,1485,2261,16680.0,2.7,5.3,38.6,21.3,11.9,20.2
1782,"Marathon County, Wisconsin",55,73,135692,4052,119738,1122,2605,8175,24682.0,3.3,4.9,34.3,18.7,13.4,25.4
1783,"Marengo County, Alabama",1,91,18863,528,8380,9678,216,61,3749.0,5.2,10.9,38.0,20.8,8.9,16.1
1784,"Maricopa County, Arizona",4,13,4485414,1408855,2446089,250899,175766,203805,696331.0,5.6,6.7,22.4,24.1,8.5,32.7
1785,"Maries County, Missouri",29,125,8697,128,8261,55,215,38,1916.0,5.5,8.0,40.0,20.0,10.6,15.8
1786,"Marin County, California",6,41,258826,42160,184116,6603,8949,16998,59404.0,3.9,2.8,10.5,17.1,6.2,59.5
1787,"Marinette County, Wisconsin",55,75,40350,798,38321,249,766,216,9894.0,2.5,6.4,41.6,23.2,10.4,15.9
1788,"Marion County, Alabama",1,93,29709,800,27252,1120,440,97,6389.0,7.9,12.5,34.8,22.8,9.2,12.8
1789,"Marion County, Arkansas",5,89,16694,408,15623,96,460,107,4858.0,3.8,9.7,37.5,24.6,7.3,17.1
