,NAME,state,county,total_pop,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate
802,"Dorchester County, Maryland",24,19,31929,1949,19902,8906,783,389,7063.0,3.1,9.0,38.5,22.1,6.1,21.2
803,"Dorchester County, South Carolina",45,35,162809,9395,104070,40667,5195,3482,23644.0,3.5,6.8,27.3,23.0,11.2,28.2
804,"Dougherty County, Georgia",13,95,87956,2689,21343,61861,1222,841,14508.0,4.9,11.7,30.2,23.2,8.6,21.4
805,"Douglas County, Colorado",8,35,351154,32066,285552,5197,9508,18831,43602.0,0.6,1.2,12.0,19.8,8.3,58.0
806,"Douglas County, Georgia",13,97,146343,14981,54762,70512,3643,2445,17366.0,3.9,8.3,30.4,21.8,7.4,28.2
807,"Douglas County, Illinois",17,41,19465,1423,17524,102,282,134,3568.0,10.3,6.5,33.4,22.0,9.0,18.9
808,"Douglas County, Kansas",20,45,122259,7947,95541,5355,7256,6160,15678.0,1.2,3.4,18.4,19.5,7.8,49.6
809,"Douglas County, Minnesota",27,41,38141,667,36525,235,514,200,8926.0,1.3,3.5,29.1,20.8,19.1,26.0
810,"Douglas County, Missouri",29,67,13185,234,12473,54,379,45,3283.0,4.7,13.2,44.0,20.0,7.3,10.8
811,"Douglas County, Nebraska",31,55,571327,73944,392951,63236,16518,24678,76770.0,4.5,5.0,21.4,21.7,7.8,39.7
812,"Douglas County, Nevada",32,5,48905,6447,39214,391,1937,916,14501.0,2.1,4.7,24.4,28.1,11.3,29.4
813,"Douglas County, Oregon",41,19,110980,6732,97083,508,5345,1312,29193.0,2.4,8.0,32.3,30.0,10.0,17.3
814,"Douglas County, South Dakota",46,43,2921,59,2737,13,109,3,702.0,,,,,,
815,"Douglas County, Washington",53,17,43429,14036,27529,203,1202,459,7885.0,9.9,8.0,29.6,21.7,10.3,20.5
816,"Douglas County, Wisconsin",55,31,43150,730,39424,508,1997,491,8288.0,1.4,4.9,31.1,25.2,13.3,24.1
817,"Doña Ana County, New Mexico",35,13,218195,150033,58310,3548,3830,2474,35414.0,11.6,8.9,22.7,21.7,7.9,27.1
818,"Drew County, Arkansas",5,43,18219,684,12044,5092,283,116,3316.0,5.5,7.6,35.3,21.8,7.0,22.8
819,"DuPage County, Illinois",17,43,922921,134510,609335,45847,16834,116395,148998.0,3.6,3.4,18.2,18.1,7.3,49.4
820,"Dubois County, Indiana",18,37,42736,3724,38114,285,337,276,7634.0,4.0,6.7,38.3,14.9,12.3,23.7
821,"Dubuque County, Iowa",19,61,97311,2560,87873,3413,1711,1754,17819.0,2.2,5.1,32.7,19.5,9.7,30.8
822,"Duchesne County, Utah",49,13,19938,1656,16876,70,1194,142,2481.0,1.9,9.3,36.7,28.9,8.5,14.7
823,"Dukes County, Massachusetts",25,7,17332,671,15063,748,664,186,4346.0,1.3,3.9,23.6,19.8,6.5,44.9
824,"Dundy County, Nebraska",31,57,1693,125,1513,8,42,5,443.0,,,,,,
825,"Dunklin County, Missouri",29,69,29131,2031,23160,3032,650,258,5480.0,9.6,14.2,38.2,17.4,6.9,13.8
826,"Dunn County, North Dakota",38,25,4424,249,3548,72,494,61,714.0,,,,,,
827,"Dunn County, Wisconsin",55,33,45368,933,41923,379,786,1347,7298.0,2.4,3.9,33.3,20.5,12.0,27.9
828,"Duplin County, North Carolina",37,61,58741,13517,29950,14182,818,274,11405.0,11.4,12.7,31.8,22.6,9.4,12.1
829,"Durham County, North Carolina",37,63,321488,43928,138175,114467,7638,17280,43764.0,5.5,6.1,17.7,15.6,6.8,48.2
