,area_code,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021,occ_15,total_pop,pop_excl,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate,CBSA Title,division,region,state,pop_by_metro,state_name,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,deaths,deaths_by_pop
20,12260.0,5.98,48.88,39.8,2.73,2.6,14.778858048645112,0.0647702407002188,0.1073515608441577,239.6,42.0,197.6,229.40000000000003,41.4,188.0,243.3,43.2,200.1,-0.0425709515859765,-0.0142857142857143,-0.048582995951417,0.0169749280723386,425202,425202,3.9,9.6,29.770000000000003,21.82,9.27,25.67,"Augusta-Richmond County, GA-SC",South Atlantic Division,South Region,13,608980.0,Georgia,55.921999423963136,56.25494897273425,55.945862903225795,58.414578533026116,1156.0,0.0027187078141683247
21,12420.0,32.6,51.54,7.13,2.26,6.47,11.194867905686497,0.1605937921727395,0.1157462694169729,1099.7,128.4,971.3,1059.8,131.6,928.2,1118.0,131.2,986.7,-0.0362826225334182,0.0249221183800623,-0.044373520024709,0.0597495527728085,2227083,2227083,5.12,4.89,19.24,19.72,6.52,44.51,"Austin-Round Rock, TX",West South Central Division,South Region,48,2227083.0,Texas,53.63982930107527,52.692696812596004,54.37135651881719,40.948420698924735,1982.0,0.0008899533605168734
22,12540.0,54.6,32.85,5.220000000000001,2.5,4.83,11.23692237964368,0.0621600621600621,0.0968754406633946,268.9,38.1,230.8,250.7,34.6,216.1,273.4,38.8,234.6,-0.0676831535886947,-0.0918635170603674,-0.0636915077989601,0.0143379663496708,900202,900202,13.5,12.5,27.800000000000004,22.3,7.6,16.400000000000002,"Bakersfield, CA",Pacific Division,West Region,6,900202.0,California,63.05135147849461,67.14176209677419,64.82339784946237,80.77116935483872,1407.0,0.0015629825305875792
23,12580.0,6.260000000000001,55.71,29.37,2.7,5.96,15.929734187174311,0.0449454651928849,0.0931854153384007,1408.2000000000005,136.9,1271.3,1290.2,137.29999999999998,1152.9,1427.5,141.29999999999998,1286.2,-0.0837949154949581,0.0029218407596787,-0.0931330134507982,0.0479509632224168,2800053,2800053,2.97,6.01,24.92,18.82,6.79,40.510000000000005,"Baltimore-Columbia-Towson, MD",South Atlantic Division,South Region,24,2800053.0,Maryland,60.60304723502304,62.57520979847059,61.69322278643223,68.75504032258064,4404.0,0.0015728273714818968
24,12940.0,4.31,56.13,35.870000000000005,1.52,2.17,14.464827435524668,0.0200049394912324,0.0949362787248062,416.80000000000007,86.10000000000001,330.7,366.80000000000007,67.5,299.3,413.0,81.10000000000001,331.90000000000003,-0.1199616122840691,-0.2160278745644599,-0.0949501058361051,0.0139467312348668,832993,832993,3.64,8.39,31.65,21.69,6.260000000000001,28.360000000000003,"Baton Rouge, LA",West South Central Division,South Region,22,854884.0,Louisiana,60.54880189132106,57.663747839861756,59.388420698924726,45.58803763440861,1606.0,0.0019279873900500965
25,12980.0,5.47,77.08,10.77,3.72,2.95,18.212717745361847,-0.015358361774744,0.0767052552677604,57.7,13.1,44.6,51.0,12.0,39.0,57.7,13.1,44.6,-0.1161178509532062,-0.0839694656488549,-0.1255605381165919,0.0131715771230502,134159,134159,2.5,6.4,36.8,24.1,9.1,21.0,"Battle Creek, MI",East North Central Division,Midwest Region,26,134159.0,Michigan,61.24921438172043,61.19805174731184,63.852320564516134,42.61592741935484,318.0,0.0023703217823627188
26,13020.0,5.510000000000001,89.81,1.62,2.46,0.6,20.985978317786007,-0.0329670329670328,0.1227342288726408,34.7,5.7,29.0,32.2,5.8,26.4,35.2,6.0,29.2,-0.0720461095100865,0.0175438596491226,-0.0896551724137931,,103126,103126,2.5,7.000000000000001,34.599999999999994,25.2,11.4,19.3,"Bay City, MI",East North Central Division,Midwest Region,26,103126.0,Michigan,61.24921438172043,61.19805174731184,63.852320564516134,42.61592741935484,355.0,0.003442390861664372
27,13140.0,16.400000000000002,55.43,23.68,1.7399999999999998,2.75,15.748551056485407,-0.0066225165562913,0.0965064829286547,164.9,43.8,121.1,149.2,36.2,113.0,165.0,43.1,121.9,-0.0952092177077017,-0.1735159817351597,-0.0668868703550784,0.0097575757575757,406158,406158,5.86,8.67,34.25,24.77,8.42,18.09,"Beaumont-Port Arthur, TX",West South Central Division,South Region,48,392563.0,Texas,53.63982930107527,52.692696812596004,54.37135651881719,40.948420698924735,749.0,0.0018441099276636187
28,13220.0,1.52,89.25,6.550000000000001,2.02,0.66,21.402472207105653,-0.0088888888888888,,44.0,5.1,38.9,41.1,4.4,36.7,44.6,5.2,39.4,-0.0659090909090909,-0.1372549019607841,-0.056555269922879,0.005829596412556,115767,115767,4.8500000000000005,9.95,41.43,19.77,6.83,17.080000000000002,"Beckley, WV",South Atlantic Division,South Region,54,115767.0,West Virginia,53.95297993471581,55.95992331647157,57.62029280218761,44.618615591397855,178.0,0.0015375711558561593
29,13380.0,9.81,78.28,1.05,5.98,4.88,17.97406291031071,0.084841628959276,0.1079610241525863,94.4,18.4,76.0,86.7,17.0,69.7,95.9,18.8,77.1,-0.0815677966101695,-0.076086956521739,-0.0828947368421052,0.0149113660062565,229247,229247,2.4,4.8,23.4,24.0,11.2,34.300000000000004,"Bellingham, WA",Pacific Division,West Region,53,229247.0,Washington,61.779688172043,61.220410234255006,60.19463508064514,68.39717741935485,103.0,0.0004492970464171832
