,area_code,hispanic,white_nonhispanic,black_nonhispanic,other_nonhispanic,asian_nonhispanic,above_65,prepandemic_growth,leisure_by_emp,total_emp_feb2020,manufacturing_emp_feb2020,service_emp_feb2020,total_emp_jun2021,manufacturing_emp_jun2021,service_emp_jun2021,total_employment,manufacturing,service,emp_tot_change_feb2020_jun2021,manufacturing_change_feb2020_jun2021,service_change_feb2020_jun2021,occ_15,total_pop,pop_excl,less_than_9grade,hs_nodiploma,ged,college_nodegree,associates,bachelors_graduate,CBSA Title,division,region,state,pop_by_metro
78,12260.0,5.9799999999999995,48.88,39.800000000000004,2.73,2.6,14.778858048645112,0.06477024070021886,0.10735156084415776,239.59999999999997,42.0,197.59999999999997,229.40000000000003,41.4,188.0,243.29999999999998,43.199999999999996,200.09999999999997,-0.04257095158597657,-0.014285714285714346,-0.04858299595141702,0.016974928072338677,425202,425202,3.9,9.6,29.770000000000003,21.82,9.27,25.669999999999998,"Augusta-Richmond County, GA-SC",South Atlantic Division,South Region,13,608980
85,12420.0,32.6,51.54,7.13,2.26,6.47,11.194867905686497,0.16059379217273959,0.11574626941697294,1099.7,128.4,971.3,1059.8,131.6,928.2,1118.0,131.2,986.7,-0.036282622533418296,0.024922118380062308,-0.04437352002470907,0.05974955277280859,2227083,2227083,5.12,4.89,19.24,19.72,6.52,44.51,"Austin-Round Rock, TX",West South Central Division,South Region,48,2227083
90,12540.0,54.6,32.85,5.220000000000001,2.5,4.83,11.23692237964368,0.06216006216006217,0.09687544066339461,268.9,38.1,230.8,250.7,34.6,216.1,273.4,38.8,234.6,-0.0676831535886947,-0.09186351706036744,-0.06369150779896016,0.014337966349670812,900202,900202,13.5,12.5,27.800000000000004,22.3,7.6,16.400000000000002,"Bakersfield, CA",Pacific Division,West Region,6,900202
91,12580.0,6.260000000000001,55.71,29.37,2.7,5.96,15.929734187174313,0.044945465192884934,0.0931854153384007,1408.2000000000003,136.9,1271.3,1290.2,137.29999999999998,1152.8999999999999,1427.5,141.29999999999998,1286.2,-0.0837949154949581,0.0029218407596787177,-0.09313301345079827,0.04795096322241681,2800053,2800053,2.97,6.01,24.92,18.82,6.79,40.510000000000005,"Baltimore-Columbia-Towson, MD",South Atlantic Division,South Region,24,2800053
98,12940.0,4.31,56.13,35.870000000000005,1.52,2.17,14.464827435524668,0.02000493949123246,0.09493627872480623,416.80000000000007,86.10000000000001,330.7,366.80000000000007,67.5,299.3,413.0,81.10000000000001,331.90000000000003,-0.11996161228406911,-0.21602787456445993,-0.09495010583610519,0.013946731234866826,832993,832993,3.64,8.39,31.65,21.69,6.260000000000001,28.360000000000003,"Baton Rouge, LA",West South Central Division,South Region,22,854884
107,12980.0,5.47,77.08,10.77,3.7199999999999998,2.9499999999999997,18.212717745361847,-0.015358361774744003,0.07670525526776048,57.7,13.1,44.6,51.0,12.0,39.0,57.7,13.1,44.6,-0.11611785095320626,-0.08396946564885499,-0.12556053811659196,0.01317157712305026,134159,134159,2.5,6.4,36.8,24.099999999999998,9.1,21.0,"Battle Creek, MI",East North Central Division,Midwest Region,26,134159
108,13020.0,5.510000000000001,89.81,1.6199999999999999,2.46,0.6,20.985978317786007,-0.03296703296703285,0.12273422887264082,34.7,5.7,29.0,32.2,5.8,26.4,35.2,6.0,29.2,-0.0720461095100865,0.01754385964912264,-0.08965517241379317,,103126,103126,2.5,7.000000000000001,34.599999999999994,25.2,11.4,19.3,"Bay City, MI",East North Central Division,Midwest Region,26,103126
109,13140.0,16.400000000000002,55.43,23.68,1.7399999999999998,2.75,15.748551056485407,-0.006622516556291357,0.09650648292865475,164.9,43.8,121.1,149.2,36.2,113.0,165.0,43.1,121.9,-0.09520921770770174,-0.1735159817351597,-0.06688687035507845,0.009757575757575758,406158,406158,5.86,8.67,34.25,24.77,8.42,18.09,"Beaumont-Port Arthur, TX",West South Central Division,South Region,48,392563
113,13220.0,1.52,89.25,6.550000000000001,2.02,0.66,21.402472207105653,-0.008888888888888858,,44.0,5.1,38.9,41.1,4.4,36.7,44.6,5.2,39.4,-0.06590909090909092,-0.13725490196078416,-0.05655526992287907,0.005829596412556054,115767,115767,4.8500000000000005,9.950000000000001,41.43,19.77,6.83,17.080000000000002,"Beckley, WV",South Atlantic Division,South Region,54,115767
115,13380.0,9.81,78.28,1.05,5.9799999999999995,4.88,17.97406291031071,0.08484162895927601,0.10796102415258631,94.4,18.4,76.0,86.7,17.0,69.7,95.9,18.8,77.1,-0.08156779661016955,-0.07608695652173902,-0.08289473684210524,0.014911366006256517,229247,229247,2.4,4.8,23.400000000000002,24.0,11.200000000000001,34.300000000000004,"Bellingham, WA",Pacific Division,West Region,53,229247
116,13460.0,8.260000000000002,86.83999999999999,0.47000000000000003,3.1199999999999997,1.31,20.47629646116181,0.17385444743935297,0.15016220777142528,84.4,12.1,72.3,80.9,12.4,68.5,87.1,12.9,74.3,-0.041469194312796165,0.024793388429752206,-0.052558782849239205,0.018140068886337544,197692,197692,1.7000000000000002,4.6,21.8,26.400000000000002,10.100000000000001,35.4,"Bend-Redmond, OR",Pacific Division,West Region,41,197692
117,13740.0,5.64,86.88,0.67,6.52,0.77,18.12759773288766,0.015421115065243145,0.13813746293615892,83.9,9.1,74.8,83.5,9.9,73.6,85.59999999999998,9.9,75.8,-0.00476758045292025,0.08791208791208804,-0.016042780748663166,0.014135514018691587,172025,172025,1.7399999999999998,4.16,30.259999999999998,22.71,9.15,31.990000000000002,"Billings, MT",Mountain Division,West Region,30,181667
120,13780.0,3.9699999999999998,85.11999999999999,4.64,2.58,3.6799999999999997,19.72173228148527,0.003891050583657643,0.09703602478618381,102.3,14.6,87.7,90.2,14.7,75.5,103.2,15.3,88.0,-0.11827956989247301,0.006849315068493178,-0.1391106043329533,0.024806201550387597,238691,238691,2.5,6.7,32.39,17.86,12.7,27.92,"Binghamton, NY",Middle Atlantic Division,Northeast Region,36,238691
122,13820.0,4.61,63.21,29.04,1.54,1.6,16.61172523042473,0.046369036213834154,0.09400226025185666,541.3000000000001,71.0,470.30000000000007,507.69999999999993,67.60000000000001,440.09999999999997,546.1,71.8,474.40000000000003,-0.06207278773323477,-0.04788732394366202,-0.06421433127790765,0.02387841054751877,1153956,1153956,3.5999999999999996,7.720000000000001,27.88,21.63,8.780000000000001,30.37,"Birmingham-Hoover, AL",East South Central Division,South Region,1,1090435
129,13900.0,3.29,90.24,2.06,8.4,0.88,17.309236947791167,-0.026737967914438502,0.09619153383851577,71.6,5.7,65.9,69.8,6.6,63.2,72.8,6.6,66.2,-0.025139664804469275,0.1578947368421051,-0.04097116843702586,0.02142857142857143,126990,126990,2.97,3.32,24.349999999999998,21.17,14.580000000000002,33.6,"Bismarck, ND",West North Central Division,Midwest Region,38,128949
133,13980.0,2.93,86.69,4.33,2.2399999999999998,3.8,16.457333042339588,0.018158236057068816,,79.6,15.1,64.5,68.7,13.4,55.3,78.5,15.1,63.4,-0.13693467336683407,-0.11258278145695355,-0.14263565891472874,0.02,183280,183280,3.17,5.82,27.71,19.67,8.16,35.510000000000005,"Blacksburg-Christiansburg-Radford, VA",South Atlantic Division,South Region,51,167531
138,14010.0,4.97,80.52,7.5200000000000005,2.29,4.7,14.27373033047474,-0.03138075313807531,0.11763796169806946,92.4,6.3,86.1,83.1,6.0,77.1,92.6,6.6,86.0,-0.10064935064935077,-0.04761904761904756,-0.1045296167247387,0.1009719222462203,187155,187155,1.47,2.9000000000000004,25.7,19.24,7.75,42.84,"Bloomington, IL",East North Central Division,Midwest Region,17,171517
140,14020.0,3.2800000000000002,84.55,3.17,2.54,6.460000000000001,14.334928795130885,0.05053191489361698,0.1093411136941631,80.7,12.0,68.7,69.5,12.8,56.7,79.0,12.6,66.4,-0.1387856257744734,0.06666666666666665,-0.1746724890829694,0.023924050632911392,169230,169230,2.17,5.94,24.93,17.88,7.3,41.69,"Bloomington, IN",East North Central Division,Midwest Region,18,169230
142,14100.0,2.96,92.5,1.71,1.2,1.63,20.38007548621295,0.023923444976076555,0.08069302733105334,42.7,6.4,36.3,39.6,6.3,33.3,42.8,6.5,36.3,-0.07259953161592514,-0.01562500000000011,-0.08264462809917361,0.0,83194,83194,2.5100000000000002,7.12,42.36,14.82,8.35,24.81,"Bloomsburg-Berwick, PA",Middle Atlantic Division,Northeast Region,42,83194
144,14260.0,14.02,79.79,1.01,2.9499999999999997,2.23,14.995822221510355,0.18212940773707628,0.09982186448505634,337.5,54.1,283.4,340.4,57.7,282.7,345.3,55.8,289.4,0.008592592592592485,0.06654343807763397,-0.0024700070571629373,0.03026353895163626,749202,749202,3.2,5.19,25.990000000000002,24.85,9.36,31.380000000000003,"Boise City, ID",Mountain Division,West Region,16,749202
149,14500.0,13.969999999999999,77.4,0.9900000000000001,2.69,4.95,14.824829243767551,0.10249307479224377,0.10464142987507473,196.8,25.2,171.6,180.5,25.6,154.9,199.0,25.8,173.2,-0.08282520325203258,0.01587301587301604,-0.09731934731934722,0.07587939698492463,326196,326196,2.0,2.9000000000000004,11.700000000000001,15.1,6.1,62.1,"Boulder, CO",Mountain Division,West Region,8,326196
150,14540.0,4.8,81.99,7.35,2.15,3.71,14.695938406605668,0.061898211829436035,0.11262972204122501,76.4,15.9,60.5,69.2,15.6,53.6,77.2,16.3,60.9,-0.09424083769633507,-0.018867924528301883,-0.1140495867768595,0.006994818652849741,179240,179240,6.660000000000001,7.24,30.049999999999997,19.96,8.6,27.49,"Bowling Green, KY",East South Central Division,South Region,21,179240
154,14740.0,8.24,75.96000000000001,2.91,6.819999999999999,6.069999999999999,18.365730661981118,0.08418657565415234,0.0996225133557126,93.1,7.7,85.4,89.4,7.8,81.6,95.3,8.1,87.2,-0.039742212674543365,0.01298701298701288,-0.0444964871194381,0.020356768100734522,271473,271473,1.6,3.5999999999999996,22.2,28.7,10.8,33.2,"Bremerton-Silverdale, WA",Pacific Division,West Region,53,271473
155,15180.0,90.0,8.6,0.38,0.33,0.69,13.849745842618566,0.044011544011543974,0.1088337912319439,142.9,8.7,134.2,139.8,9.3,130.5,144.7,9.1,135.6,-0.021693491952414212,0.06896551724137945,-0.027570789865871803,0.00580511402902557,423163,423163,18.8,13.3,26.400000000000002,16.900000000000002,7.3,17.299999999999997,"Brownsville-Harlingen, TX",West South Central Division,South Region,48,423163
156,15260.0,5.55,67.96,23.25,1.96,1.28,21.322792749560108,0.052631578947368494,,43.20000000000001,4.2,39.0,41.7,4.0,37.7,44.0,4.1,39.9,-0.03472222222222221,-0.04761904761904767,-0.033333333333333215,0.009318181818181817,118779,118779,3.2399999999999998,10.5,30.869999999999997,22.48,7.95,25.03,"Brunswick, GA",South Atlantic Division,South Region,13,118779
159,15380.0,5.3100000000000005,76.81,11.99,2.58,3.3099999999999996,18.599127823734932,0.018394950405771045,0.10295237600713113,557.6,70.8,486.8,483.6,69.6,414.0,564.7,73.7,491.0,-0.13271162123385938,-0.016949152542372947,-0.14954806902218576,0.025429431556578716,1127983,1127983,2.64,5.67,28.64,18.33,12.22,32.58,"Buffalo-Cheektowaga-Niagara Falls, NY",Middle Atlantic Division,Northeast Region,36,1127983
161,15500.0,13.059999999999999,62.93,20.11,2.23,1.67,17.128884012058357,0.0771812080536913,0.12353224718017934,63.4,12.4,51.0,58.5,11.5,47.0,64.2,12.6,51.6,-0.07728706624605675,-0.07258064516129037,-0.07843137254901966,0.011838006230529595,169509,169509,5.4,8.3,27.700000000000003,23.400000000000002,10.5,24.8,"Burlington, NC",South Atlantic Division,South Region,37,169509
